,,Fraction of people suffering from severe anemia
SC Aajangaon,May-2015,0.0
SC Aajangaon,Jun-2015,0.0
SC Aajangaon,Jul-2015,0.0
SC Aajangaon,Aug-2015,0.0
SC Aajangaon,Sep-2015,0.0
SC Aajangaon,Oct-2015,0.0
SC Aajangaon,Nov-2015,0.0
SC Aajangaon,Dec-2015,0.0
SC Aajangaon,Jan-2016,0.0
SC Aajangaon,Feb-2016,0.0
SC Aajangaon,Mar-2016,0.0
SC Aajangaon,Total,0.0
SC Aamgaon,Apr-2015,0.0
SC Aamgaon,May-2015,0.0
SC Aamgaon,Jun-2015,0.03333333333333333
SC Aamgaon,Jul-2015,0.0
SC Aamgaon,Aug-2015,0.0
SC Aamgaon,Sep-2015,0.0
SC Aamgaon,Oct-2015,0.0
SC Aamgaon,Nov-2015,0.0
SC Aamgaon,Dec-2015,0.0
SC Aamgaon,Jan-2016,0.0
SC Aamgaon,Feb-2016,0.0
SC Aamgaon,Mar-2016,0.0
SC Aamgaon,Total,0.00186219739292365
SC Aashta,Apr-2015,0.0
SC Aashta,May-2015,0.0
SC Aashta,Jun-2015,0.0
SC Aashta,Jul-2015,0.0
SC Aashta,Aug-2015,
SC Aashta,Sep-2015,0.0
SC Aashta,Oct-2015,0.0
SC Aashta,Nov-2015,0.0
SC Aashta,Dec-2015,0.0
SC Aashta,Jan-2016,0.0
SC Aashta,Feb-2016,0.0
SC Aashta,Mar-2016,0.0
SC Aashta,Total,0.0
SC Adam,Apr-2015,0.0
SC Adam,May-2015,0.0
SC Adam,Jun-2015,0.0
SC Adam,Jul-2015,0.0
SC Adam,Aug-2015,0.0
SC Adam,Sep-2015,0.0
SC Adam,Oct-2015,0.0
SC Adam,Nov-2015,0.0
SC Adam,Dec-2015,0.0
SC Adam,Jan-2016,0.9230769230769231
SC Adam,Feb-2016,0.0
SC Adam,Mar-2016,0.0
SC Adam,Total,0.07272727272727272
SC Adasa,Apr-2015,0.0
SC Adasa,May-2015,0.0
SC Adasa,Jun-2015,0.0
SC Adasa,Jul-2015,0.0
SC Adasa,Aug-2015,0.0
SC Adasa,Sep-2015,0.0
SC Adasa,Oct-2015,0.0
SC Adasa,Nov-2015,0.0
SC Adasa,Dec-2015,0.0
SC Adasa,Jan-2016,0.0
SC Adasa,Feb-2016,0.0
SC Adasa,Mar-2016,0.0
SC Adasa,Total,0.0
SC Ajani,Apr-2015,0.0
SC Ajani,May-2015,0.0
SC Ajani,Jun-2015,0.0
SC Ajani,Jul-2015,0.0
SC Ajani,Aug-2015,0.0
SC Ajani,Sep-2015,0.0
SC Ajani,Oct-2015,0.0
SC Ajani,Nov-2015,0.0
SC Ajani,Dec-2015,0.0
SC Ajani,Jan-2016,0.0
SC Ajani,Feb-2016,0.0
SC Ajani,Mar-2016,0.0
SC Ajani,Total,0.0
SC Ajani Gumthala,Apr-2015,0.0
SC Ajani Gumthala,May-2015,0.0
SC Ajani Gumthala,Jun-2015,0.0
SC Ajani Gumthala,Jul-2015,0.0
SC Ajani Gumthala,Aug-2015,0.0
SC Ajani Gumthala,Sep-2015,0.0
SC Ajani Gumthala,Oct-2015,0.6666666666666666
SC Ajani Gumthala,Nov-2015,0.0
SC Ajani Gumthala,Dec-2015,
SC Ajani Gumthala,Jan-2016,0.0
SC Ajani Gumthala,Feb-2016,0.0
SC Ajani Gumthala,Mar-2016,0.0
SC Ajani Gumthala,Total,0.03333333333333333
SC Ambhora,Apr-2015,0.0
SC Ambhora,May-2015,0.0
SC Ambhora,Jun-2015,0.0
SC Ambhora,Jul-2015,0.0
SC Ambhora,Aug-2015,0.0
SC Ambhora,Sep-2015,0.0
SC Ambhora,Oct-2015,0.0
SC Ambhora,Nov-2015,0.1
SC Ambhora,Dec-2015,0.0
SC Ambhora,Jan-2016,0.0
SC Ambhora,Feb-2016,0.0
SC Ambhora,Mar-2016,0.0
SC Ambhora,Total,0.0053475935828877
SC Amgaon Kanholibara,Apr-2015,0.0
SC Amgaon Kanholibara,May-2015,0.058823529411764705
SC Amgaon Kanholibara,Jun-2015,0.0
SC Amgaon Kanholibara,Jul-2015,0.0
SC Amgaon Kanholibara,Aug-2015,0.0
SC Amgaon Kanholibara,Sep-2015,0.0
SC Amgaon Kanholibara,Oct-2015,0.0
SC Amgaon Kanholibara,Nov-2015,0.0
SC Amgaon Kanholibara,Dec-2015,0.0
SC Amgaon Kanholibara,Jan-2016,0.0
SC Amgaon Kanholibara,Feb-2016,0.0
SC Amgaon Kanholibara,Mar-2016,0.0
SC Amgaon Kanholibara,Total,0.004524886877828055
SC Aptur,Apr-2015,0.0
SC Aptur,May-2015,0.0
SC Aptur,Jun-2015,0.0
SC Aptur,Jul-2015,0.0
SC Aptur,Aug-2015,0.0
SC Aptur,Sep-2015,0.42857142857142855
SC Aptur,Oct-2015,0.0
SC Aptur,Nov-2015,0.0
SC Aptur,Dec-2015,0.0
SC Aptur,Jan-2016,0.0
SC Aptur,Feb-2016,0.0
SC Aptur,Mar-2016,0.0
SC Aptur,Total,0.012605042016806723
SC Aroli,Apr-2015,0.0
SC Aroli,May-2015,0.0
SC Aroli,Jun-2015,0.0
SC Aroli,Jul-2015,0.0
SC Aroli,Aug-2015,0.0
SC Aroli,Sep-2015,0.0
SC Aroli,Oct-2015,0.0
SC Aroli,Nov-2015,0.0
SC Aroli,Dec-2015,0.0
SC Aroli,Jan-2016,0.0
SC Aroli,Feb-2016,0.0
SC Aroli,Mar-2016,0.0
SC Aroli,Total,0.0
SC Asola Takalghat,Apr-2015,0.0
SC Asola Takalghat,May-2015,0.0
SC Asola Takalghat,Jun-2015,0.0
SC Asola Takalghat,Jul-2015,0.0
SC Asola Takalghat,Aug-2015,0.0
SC Asola Takalghat,Sep-2015,0.0
SC Asola Takalghat,Oct-2015,0.0
SC Asola Takalghat,Nov-2015,0.0
SC Asola Takalghat,Dec-2015,0.0
SC Asola Takalghat,Jan-2016,0.0
SC Asola Takalghat,Feb-2016,0.0
SC Asola Takalghat,Mar-2016,0.0
SC Asola Takalghat,Total,0.0
SC Avandhi Gunthala,Apr-2015,0.0
SC Avandhi Gunthala,May-2015,0.0
SC Avandhi Gunthala,Jun-2015,0.0
SC Avandhi Gunthala,Jul-2015,0.0
SC Avandhi Gunthala,Aug-2015,0.0
SC Avandhi Gunthala,Sep-2015,0.0
SC Avandhi Gunthala,Oct-2015,0.0
SC Avandhi Gunthala,Nov-2015,0.0
SC Avandhi Gunthala,Dec-2015,0.0
SC Avandhi Gunthala,Jan-2016,0.0
SC Avandhi Gunthala,Feb-2016,0.14285714285714285
SC Avandhi Gunthala,Mar-2016,0.7777777777777778
SC Avandhi Gunthala,Total,0.06766917293233082
SC BESUR,Apr-2015,0.0
SC BESUR,May-2015,0.0
SC BESUR,Jun-2015,0.0
SC BESUR,Jul-2015,0.0
SC BESUR,Aug-2015,0.0
SC BESUR,Sep-2015,0.0
SC BESUR,Oct-2015,0.0
SC BESUR,Nov-2015,0.0
SC BESUR,Dec-2015,0.0
SC BESUR,Jan-2016,0.0
SC BESUR,Feb-2016,0.0
SC BESUR,Mar-2016,0.0
SC BESUR,Total,0.0
SC BHAGVANPUR,Apr-2015,0.0
SC BHAGVANPUR,May-2015,0.0
SC BHAGVANPUR,Jun-2015,
SC BHAGVANPUR,Jul-2015,0.0
SC BHAGVANPUR,Aug-2015,0.0
SC BHAGVANPUR,Sep-2015,0.0
SC BHAGVANPUR,Oct-2015,0.0
SC BHAGVANPUR,Nov-2015,0.0
SC BHAGVANPUR,Dec-2015,0.0
SC BHAGVANPUR,Jan-2016,0.0
SC BHAGVANPUR,Feb-2016,0.0
SC BHAGVANPUR,Mar-2016,0.0
SC BHAGVANPUR,Total,0.0
SC Babdev,Apr-2015,0.0
SC Babdev,May-2015,0.0
SC Babdev,Jun-2015,0.0
SC Babdev,Jul-2015,0.0
SC Babdev,Aug-2015,0.0
SC Babdev,Sep-2015,0.0
SC Babdev,Oct-2015,0.0
SC Babdev,Nov-2015,0.0
SC Babdev,Dec-2015,0.0
SC Babdev,Jan-2016,0.0
SC Babdev,Feb-2016,0.0
SC Babdev,Mar-2016,0.0
SC Babdev,Total,0.0
SC Badegaon,Apr-2015,0.0
SC Badegaon,May-2015,0.0
SC Badegaon,Jun-2015,0.0
SC Badegaon,Jul-2015,0.0
SC Badegaon,Aug-2015,0.0
SC Badegaon,Sep-2015,0.0
SC Badegaon,Oct-2015,
SC Badegaon,Nov-2015,0.0
SC Badegaon,Dec-2015,0.0
SC Badegaon,Jan-2016,0.0
SC Badegaon,Feb-2016,0.0
SC Badegaon,Mar-2016,0.0
SC Badegaon,Total,0.0
SC Bajargaon,Apr-2015,0.02564102564102564
SC Bajargaon,May-2015,0.0
SC Bajargaon,Jun-2015,0.0
SC Bajargaon,Jul-2015,0.0
SC Bajargaon,Aug-2015,0.0
SC Bajargaon,Sep-2015,0.0
SC Bajargaon,Oct-2015,0.0
SC Bajargaon,Nov-2015,0.0
SC Bajargaon,Dec-2015,0.0
SC Bajargaon,Jan-2016,0.0
SC Bajargaon,Feb-2016,0.0
SC Bajargaon,Mar-2016,0.2692307692307692
SC Bajargaon,Total,0.06153846153846154
SC Bamhani,Apr-2015,0.0
SC Bamhani,May-2015,0.0
SC Bamhani,Jun-2015,0.0
SC Bamhani,Jul-2015,0.0
SC Bamhani,Aug-2015,0.0
SC Bamhani,Sep-2015,0.0
SC Bamhani,Oct-2015,0.0
SC Bamhani,Nov-2015,0.0
SC Bamhani,Dec-2015,0.0
SC Bamhani,Jan-2016,0.0
SC Bamhani,Feb-2016,0.0
SC Bamhani,Mar-2016,0.0
SC Bamhani,Total,0.0
SC Bandra,Apr-2015,0.0
SC Bandra,May-2015,0.0
SC Bandra,Jun-2015,0.0
SC Bandra,Jul-2015,0.0
SC Bandra,Aug-2015,0.0
SC Bandra,Sep-2015,0.0
SC Bandra,Oct-2015,0.0
SC Bandra,Nov-2015,0.0
SC Bandra,Dec-2015,0.0
SC Bandra,Jan-2016,0.0
SC Bandra,Feb-2016,0.0
SC Bandra,Mar-2016,0.0
SC Bandra,Total,0.0
SC Bela,Apr-2015,
SC Bela,May-2015,
SC Bela,Jun-2015,0.0
SC Bela,Jul-2015,0.25
SC Bela,Aug-2015,0.0
SC Bela,Sep-2015,0.0
SC Bela,Oct-2015,
SC Bela,Nov-2015,
SC Bela,Dec-2015,
SC Bela,Jan-2016,
SC Bela,Feb-2016,
SC Bela,Mar-2016,
SC Bela,Total,0.041666666666666664
SC Belda,Apr-2015,0.0
SC Belda,May-2015,0.0
SC Belda,Jun-2015,0.0
SC Belda,Jul-2015,0.0
SC Belda,Aug-2015,0.0
SC Belda,Sep-2015,0.0
SC Belda,Oct-2015,0.0
SC Belda,Nov-2015,0.0
SC Belda,Dec-2015,0.0
SC Belda,Jan-2016,0.0
SC Belda,Feb-2016,0.0
SC Belda,Mar-2016,0.0
SC Belda,Total,0.0
SC Belona,Apr-2015,0.0
SC Belona,May-2015,0.0
SC Belona,Jun-2015,0.0
SC Belona,Jul-2015,0.0
SC Belona,Aug-2015,0.0
SC Belona,Sep-2015,0.0
SC Belona,Oct-2015,0.0
SC Belona,Nov-2015,0.0
SC Belona,Dec-2015,0.0
SC Belona,Jan-2016,0.0
SC Belona,Feb-2016,0.0
SC Belona,Mar-2016,0.0
SC Belona,Total,0.0
SC Bhamewada,Apr-2015,0.0
SC Bhamewada,May-2015,0.0
SC Bhamewada,Jun-2015,0.0
SC Bhamewada,Jul-2015,0.0
SC Bhamewada,Aug-2015,0.0
SC Bhamewada,Sep-2015,0.0
SC Bhamewada,Oct-2015,0.0
SC Bhamewada,Nov-2015,0.0
SC Bhamewada,Dec-2015,0.0
SC Bhamewada,Jan-2016,0.0
SC Bhamewada,Feb-2016,0.0
SC Bhamewada,Mar-2016,0.0
SC Bhamewada,Total,0.0
SC Bhandarbodi,Apr-2015,1.25
SC Bhandarbodi,May-2015,0.0
SC Bhandarbodi,Jun-2015,0.0
