,,Fraction of people suffering from severe anemia
SC HiwaraBazar,May-2015,0.0
SC HiwaraBazar,Jun-2015,0.0
SC HiwaraBazar,Jul-2015,0.0
SC HiwaraBazar,Aug-2015,0.3333333333333333
SC HiwaraBazar,Sep-2015,
SC HiwaraBazar,Oct-2015,0.0
SC HiwaraBazar,Nov-2015,0.0
SC HiwaraBazar,Dec-2015,0.0
SC HiwaraBazar,Jan-2016,0.25
SC HiwaraBazar,Feb-2016,0.0
SC HiwaraBazar,Mar-2016,0.0
SC HiwaraBazar,Total,0.03508771929824561
SC Isapur  khurd,Apr-2015,0.0
SC Isapur  khurd,May-2015,0.0
SC Isapur  khurd,Jun-2015,0.0
SC Isapur  khurd,Jul-2015,0.0
SC Isapur  khurd,Aug-2015,0.0
SC Isapur  khurd,Sep-2015,0.43333333333333335
SC Isapur  khurd,Oct-2015,0.045454545454545456
SC Isapur  khurd,Nov-2015,0.08695652173913043
SC Isapur  khurd,Dec-2015,0.041666666666666664
SC Isapur  khurd,Jan-2016,0.0625
SC Isapur  khurd,Feb-2016,0.0
SC Isapur  khurd,Mar-2016,0.0
SC Isapur  khurd,Total,0.06818181818181818
SC Isapur Patansawangi,Apr-2015,0.0
SC Isapur Patansawangi,May-2015,0.0
SC Isapur Patansawangi,Jun-2015,0.0
SC Isapur Patansawangi,Jul-2015,0.0
SC Isapur Patansawangi,Aug-2015,0.0
SC Isapur Patansawangi,Sep-2015,0.0
SC Isapur Patansawangi,Oct-2015,0.0
SC Isapur Patansawangi,Nov-2015,0.0
SC Isapur Patansawangi,Dec-2015,0.0
SC Isapur Patansawangi,Jan-2016,0.2857142857142857
SC Isapur Patansawangi,Feb-2016,0.0
SC Isapur Patansawangi,Mar-2016,0.0
SC Isapur Patansawangi,Total,0.03508771929824561
SC JAWALI,Apr-2015,0.0
SC JAWALI,May-2015,0.0
SC JAWALI,Jun-2015,0.0
SC JAWALI,Jul-2015,0.0
SC JAWALI,Aug-2015,0.0
SC JAWALI,Sep-2015,0.07692307692307693
SC JAWALI,Oct-2015,0.041666666666666664
SC JAWALI,Nov-2015,0.0
SC JAWALI,Dec-2015,0.0
SC JAWALI,Jan-2016,0.0
SC JAWALI,Feb-2016,0.0
SC JAWALI,Mar-2016,0.0
SC JAWALI,Total,0.015748031496062992
SC JUNI Kamptee,Apr-2015,0.0
SC JUNI Kamptee,May-2015,0.0
SC JUNI Kamptee,Jun-2015,0.0
SC JUNI Kamptee,Jul-2015,0.0
SC JUNI Kamptee,Aug-2015,0.0
SC JUNI Kamptee,Sep-2015,0.0
SC JUNI Kamptee,Oct-2015,0.0
SC JUNI Kamptee,Nov-2015,0.0
SC JUNI Kamptee,Dec-2015,0.0
SC JUNI Kamptee,Jan-2016,0.0
SC JUNI Kamptee,Feb-2016,0.0
SC JUNI Kamptee,Mar-2016,0.0
SC JUNI Kamptee,Total,0.0
SC Jalalkheda,Apr-2015,
SC Jalalkheda,May-2015,0.0
SC Jalalkheda,Jun-2015,
SC Jalalkheda,Jul-2015,0.0
SC Jalalkheda,Aug-2015,
SC Jalalkheda,Sep-2015,0.0
SC Jalalkheda,Oct-2015,0.0
SC Jalalkheda,Nov-2015,0.0
SC Jalalkheda,Dec-2015,
SC Jalalkheda,Jan-2016,0.0
SC Jalalkheda,Feb-2016,0.0
SC Jalalkheda,Mar-2016,0.0
SC Jalalkheda,Total,0.0
SC Jamgaon Jalalkheda,Apr-2015,0.0
SC Jamgaon Jalalkheda,May-2015,0.0
SC Jamgaon Jalalkheda,Jun-2015,0.0
SC Jamgaon Jalalkheda,Jul-2015,0.0
SC Jamgaon Jalalkheda,Aug-2015,0.0
SC Jamgaon Jalalkheda,Sep-2015,0.0
SC Jamgaon Jalalkheda,Oct-2015,0.0
SC Jamgaon Jalalkheda,Nov-2015,0.0
SC Jamgaon Jalalkheda,Dec-2015,0.0
SC Jamgaon Jalalkheda,Jan-2016,0.0
SC Jamgaon Jalalkheda,Feb-2016,0.0
SC Jamgaon Jalalkheda,Mar-2016,0.0
SC Jamgaon Jalalkheda,Total,0.0
SC Jatamkhora,Apr-2015,0.0
SC Jatamkhora,May-2015,0.0
SC Jatamkhora,Jun-2015,0.0
SC Jatamkhora,Jul-2015,
SC Jatamkhora,Aug-2015,0.0
SC Jatamkhora,Sep-2015,0.0
SC Jatamkhora,Oct-2015,0.0
SC Jatamkhora,Nov-2015,0.0
SC Jatamkhora,Dec-2015,0.0
SC Jatamkhora,Jan-2016,0.0
SC Jatamkhora,Feb-2016,0.0
SC Jatamkhora,Mar-2016,
SC Jatamkhora,Total,0.0
SC Jiwanapur,Apr-2015,
SC Jiwanapur,May-2015,0.0
SC Jiwanapur,Jun-2015,
SC Jiwanapur,Jul-2015,0.0
SC Jiwanapur,Aug-2015,0.0
SC Jiwanapur,Sep-2015,0.0
SC Jiwanapur,Oct-2015,
SC Jiwanapur,Nov-2015,
SC Jiwanapur,Dec-2015,0.0
SC Jiwanapur,Jan-2016,0.0
SC Jiwanapur,Feb-2016,0.0
SC Jiwanapur,Mar-2016,0.0
SC Jiwanapur,Total,0.0
SC Joga,Apr-2015,0.0
SC Joga,May-2015,
SC Joga,Jun-2015,0.0
SC Joga,Jul-2015,0.0
SC Joga,Aug-2015,
SC Joga,Sep-2015,0.0
SC Joga,Oct-2015,0.0
SC Joga,Nov-2015,0.0
SC Joga,Dec-2015,0.0
SC Joga,Jan-2016,0.0
SC Joga,Feb-2016,0.0
SC Joga,Mar-2016,
SC Joga,Total,0.0
SC KANDRI,Apr-2015,0.0
SC KANDRI,May-2015,0.0
SC KANDRI,Jun-2015,0.0
SC KANDRI,Jul-2015,0.0
SC KANDRI,Aug-2015,0.0
SC KANDRI,Sep-2015,0.0
SC KANDRI,Oct-2015,0.0
SC KANDRI,Nov-2015,0.0
SC KANDRI,Dec-2015,0.0
SC KANDRI,Jan-2016,1.0
SC KANDRI,Feb-2016,0.0
SC KANDRI,Mar-2016,0.0
SC KANDRI,Total,0.06206896551724138
SC KARANBHAD,Apr-2015,0.0
SC KARANBHAD,May-2015,0.0
SC KARANBHAD,Jun-2015,0.0
SC KARANBHAD,Jul-2015,0.0
SC KARANBHAD,Aug-2015,0.0
SC KARANBHAD,Sep-2015,0.0
SC KARANBHAD,Oct-2015,0.0
SC KARANBHAD,Nov-2015,0.0
SC KARANBHAD,Dec-2015,0.0
SC KARANBHAD,Jan-2016,0.0
SC KARANBHAD,Feb-2016,0.0
SC KARANBHAD,Mar-2016,0.0
SC KARANBHAD,Total,0.0
SC KARGAON,Apr-2015,0.0
SC KARGAON,May-2015,0.0
SC KARGAON,Jun-2015,0.0
SC KARGAON,Jul-2015,0.0
SC KARGAON,Aug-2015,0.0
SC KARGAON,Sep-2015,0.0
SC KARGAON,Oct-2015,0.0
SC KARGAON,Nov-2015,0.0
SC KARGAON,Dec-2015,0.0
SC KARGAON,Jan-2016,0.0
SC KARGAON,Feb-2016,0.0
SC KARGAON,Mar-2016,0.0
SC KARGAON,Total,0.0
SC KHANDALA Kanhan,Apr-2015,0.125
SC KHANDALA Kanhan,May-2015,0.05555555555555555
SC KHANDALA Kanhan,Jun-2015,0.25
SC KHANDALA Kanhan,Jul-2015,0.0
SC KHANDALA Kanhan,Aug-2015,0.0
SC KHANDALA Kanhan,Sep-2015,0.6666666666666666
SC KHANDALA Kanhan,Oct-2015,0.0
SC KHANDALA Kanhan,Nov-2015,0.0
SC KHANDALA Kanhan,Dec-2015,0.0
SC KHANDALA Kanhan,Jan-2016,0.0
SC KHANDALA Kanhan,Feb-2016,0.0
SC KHANDALA Kanhan,Mar-2016,0.42857142857142855
SC KHANDALA Kanhan,Total,0.11347517730496454
SC KHAPA,Apr-2015,0.0
SC KHAPA,May-2015,0.0
SC KHAPA,Jun-2015,0.0
SC KHAPA,Jul-2015,0.0
SC KHAPA,Aug-2015,0.0
SC KHAPA,Sep-2015,0.0
SC KHAPA,Oct-2015,0.0
SC KHAPA,Nov-2015,0.0
SC KHAPA,Dec-2015,0.0
SC KHAPA,Jan-2016,0.0
SC KHAPA,Feb-2016,0.0
SC KHAPA,Mar-2016,0.0
SC KHAPA,Total,0.0
SC Kachurwahi,Apr-2015,0.0
SC Kachurwahi,May-2015,0.0
SC Kachurwahi,Jun-2015,0.0
SC Kachurwahi,Jul-2015,0.0
SC Kachurwahi,Aug-2015,0.0
SC Kachurwahi,Sep-2015,0.0
SC Kachurwahi,Oct-2015,0.0
SC Kachurwahi,Nov-2015,0.0
SC Kachurwahi,Dec-2015,0.0
SC Kachurwahi,Jan-2016,0.0
SC Kachurwahi,Feb-2016,0.0
SC Kachurwahi,Mar-2016,0.0
SC Kachurwahi,Total,0.0
SC Kalmana Pachgaon,Apr-2015,0.0
SC Kalmana Pachgaon,May-2015,0.0
SC Kalmana Pachgaon,Jun-2015,0.0
SC Kalmana Pachgaon,Jul-2015,0.027777777777777776
SC Kalmana Pachgaon,Aug-2015,0.0
SC Kalmana Pachgaon,Sep-2015,1.3333333333333333
SC Kalmana Pachgaon,Oct-2015,0.0
SC Kalmana Pachgaon,Nov-2015,0.0
SC Kalmana Pachgaon,Dec-2015,0.0
SC Kalmana Pachgaon,Jan-2016,0.0
SC Kalmana Pachgaon,Feb-2016,0.0
SC Kalmana Pachgaon,Mar-2016,0.0
SC Kalmana Pachgaon,Total,0.04735376044568245
SC Kalmbi,Apr-2015,0.0
SC Kalmbi,May-2015,0.0
SC Kalmbi,Jun-2015,0.7647058823529411
SC Kalmbi,Jul-2015,0.0
SC Kalmbi,Aug-2015,0.0
SC Kalmbi,Sep-2015,0.0
SC Kalmbi,Oct-2015,0.0
SC Kalmbi,Nov-2015,0.0
SC Kalmbi,Dec-2015,0.0
SC Kalmbi,Jan-2016,0.0
SC Kalmbi,Feb-2016,0.0
SC Kalmbi,Mar-2016,0.0
SC Kalmbi,Total,0.09219858156028368
SC Kandri Mansar,Apr-2015,0.0
SC Kandri Mansar,May-2015,0.0
SC Kandri Mansar,Jun-2015,0.0
SC Kandri Mansar,Jul-2015,0.0
SC Kandri Mansar,Aug-2015,0.0
SC Kandri Mansar,Sep-2015,0.0
SC Kandri Mansar,Oct-2015,0.0
SC Kandri Mansar,Nov-2015,0.0
SC Kandri Mansar,Dec-2015,0.0
SC Kandri Mansar,Jan-2016,0.0
SC Kandri Mansar,Feb-2016,0.0
SC Kandri Mansar,Mar-2016,0.0
SC Kandri Mansar,Total,0.0
SC Kanhalgaon,Apr-2015,0.0
SC Kanhalgaon,May-2015,0.0
SC Kanhalgaon,Jun-2015,0.07142857142857142
SC Kanhalgaon,Jul-2015,0.0
SC Kanhalgaon,Aug-2015,0.0
SC Kanhalgaon,Sep-2015,0.0
SC Kanhalgaon,Oct-2015,0.0
SC Kanhalgaon,Nov-2015,0.0
SC Kanhalgaon,Dec-2015,0.0
SC Kanhalgaon,Jan-2016,0.0
SC Kanhalgaon,Feb-2016,0.0
SC Kanhalgaon,Mar-2016,0.06666666666666667
SC Kanhalgaon,Total,0.012422360248447204
SC Kanholibara,Apr-2015,0.0
SC Kanholibara,May-2015,0.0
SC Kanholibara,Jun-2015,0.0
SC Kanholibara,Jul-2015,0.0
SC Kanholibara,Aug-2015,0.0
SC Kanholibara,Sep-2015,0.0
SC Kanholibara,Oct-2015,0.0
SC Kanholibara,Nov-2015,0.0
SC Kanholibara,Dec-2015,0.0
SC Kanholibara,Jan-2016,0.0
SC Kanholibara,Feb-2016,0.0
SC Kanholibara,Mar-2016,0.0
SC Kanholibara,Total,0.0
SC Kapa( Kelwad),Apr-2015,0.0
SC Kapa( Kelwad),May-2015,0.0
SC Kapa( Kelwad),Jun-2015,0.0
SC Kapa( Kelwad),Jul-2015,0.0
SC Kapa( Kelwad),Aug-2015,0.0
SC Kapa( Kelwad),Sep-2015,0.0
SC Kapa( Kelwad),Oct-2015,0.0
SC Kapa( Kelwad),Nov-2015,0.0
SC Kapa( Kelwad),Dec-2015,0.0
SC Kapa( Kelwad),Jan-2016,
SC Kapa( Kelwad),Feb-2016,0.0
SC Kapa( Kelwad),Mar-2016,0.0
SC Kapa( Kelwad),Total,0.0
SC Karwahi,Apr-2015,0.0
SC Karwahi,May-2015,0.0
SC Karwahi,Jun-2015,0.0
SC Karwahi,Jul-2015,0.125
SC Karwahi,Aug-2015,0.0
SC Karwahi,Sep-2015,0.0
SC Karwahi,Oct-2015,0.0
SC Karwahi,Nov-2015,0.0
SC Karwahi,Dec-2015,0.0
SC Karwahi,Jan-2016,
SC Karwahi,Feb-2016,0.0
SC Karwahi,Mar-2016,0.0
SC Karwahi,Total,0.011627906976744186
SC Katodi,Apr-2015,0.0
SC Katodi,May-2015,0.0
SC Katodi,Jun-2015,0.0
SC Katodi,Jul-2015,0.0
SC Katodi,Aug-2015,0.0
SC Katodi,Sep-2015,0.0
SC Katodi,Oct-2015,0.0
SC Katodi,Nov-2015,0.0
SC Katodi,Dec-2015,0.0
SC Katodi,Jan-2016,0.0
SC Katodi,Feb-2016,0.0
SC Katodi,Mar-2016,0.0
SC Katodi,Total,0.0
SC Kavdas,Apr-2015,0.0
SC Kavdas,May-2015,0.0
SC Kavdas,Jun-2015,0.0
SC Kavdas,Jul-2015,0.0
SC Kavdas,Aug-2015,0.0
SC Kavdas,Sep-2015,0.0
SC Kavdas,Oct-2015,0.0
SC Kavdas,Nov-2015,0.0
SC Kavdas,Dec-2015,0.0
SC Kavdas,Jan-2016,0.0
SC Kavdas,Feb-2016,0.0
SC Kavdas,Mar-2016,0.0
SC Kavdas,Total,0.0
SC Kelwad,Apr-2015,0.0
SC Kelwad,May-2015,0.0
SC Kelwad,Jun-2015,0.0
SC Kelwad,Jul-2015,0.0
SC Kelwad,Aug-2015,0.0
SC Kelwad,Sep-2015,1.0
SC Kelwad,Oct-2015,
SC Kelwad,Nov-2015,0.0
SC Kelwad,Dec-2015,0.0
SC Kelwad,Jan-2016,0.0
SC Kelwad,Feb-2016,0.0
SC Kelwad,Mar-2016,0.0
SC Kelwad,Total,0.08235294117647059
SC Khairgaon Mowad,Apr-2015,0.5
SC Khairgaon Mowad,May-2015,
SC Khairgaon Mowad,Jun-2015,0.125
SC Khairgaon Mowad,Jul-2015,0.0
SC Khairgaon Mowad,Aug-2015,0.0
SC Khairgaon Mowad,Sep-2015,0.0
SC Khairgaon Mowad,Oct-2015,0.0
SC Khairgaon Mowad,Nov-2015,0.0
SC Khairgaon Mowad,Dec-2015,0.0
SC Khairgaon Mowad,Jan-2016,0.0
SC Khairgaon Mowad,Feb-2016,0.0
SC Khairgaon Mowad,Mar-2016,0.0
SC Khairgaon Mowad,Total,0.01680672268907563
SC Khairi (Dhalgaon),Apr-2015,0.0
SC Khairi (Dhalgaon),May-2015,0.0
SC Khairi (Dhalgaon),Jun-2015,0.0
SC Khairi (Dhalgaon),Jul-2015,0.0
SC Khairi (Dhalgaon),Aug-2015,0.0
SC Khairi (Dhalgaon),Sep-2015,0.0
SC Khairi (Dhalgaon),Oct-2015,0.0
SC Khairi (Dhalgaon),Nov-2015,0.0
SC Khairi (Dhalgaon),Dec-2015,0.0
SC Khairi (Dhalgaon),Jan-2016,0.0
SC Khairi (Dhalgaon),Feb-2016,0.0
SC Khairi (Dhalgaon),Mar-2016,0.0
SC Khairi (Dhalgaon),Total,0.0
SC Khairi Bijewada,Apr-2015,0.0
SC Khairi Bijewada,May-2015,0.0
SC Khairi Bijewada,Jun-2015,0.0
SC Khairi Bijewada,Jul-2015,0.0
SC Khairi Bijewada,Aug-2015,0.0
SC Khairi Bijewada,Sep-2015,0.0
SC Khairi Bijewada,Oct-2015,0.0
SC Khairi Bijewada,Nov-2015,0.0
SC Khairi Bijewada,Dec-2015,0.0
SC Khairi Bijewada,Jan-2016,0.0
SC Khairi Bijewada,Feb-2016,0.0
SC Khairi Bijewada,Mar-2016,0.0
SC Khairi Bijewada,Total,0.0
SC Khairi pannase,Apr-2015,0.08333333333333333
SC Khairi pannase,May-2015,0.09195402298850575
SC Khairi pannase,Jun-2015,0.031914893617021274
SC Khairi pannase,Jul-2015,0.0425531914893617
SC Khairi pannase,Aug-2015,0.011111111111111112
SC Khairi pannase,Sep-2015,0.0
SC Khairi pannase,Oct-2015,0.0
SC Khairi pannase,Nov-2015,0.013333333333333334
SC Khairi pannase,Dec-2015,0.015748031496062992
SC Khairi pannase,Jan-2016,0.010638297872340425
SC Khairi pannase,Feb-2016,0.022988505747126436
SC Khairi pannase,Mar-2016,0.02531645569620253
SC Khairi pannase,Total,0.028517110266159697
SC Khairy,Apr-2015,0.0
SC Khairy,May-2015,0.0
SC Khairy,Jun-2015,0.0
SC Khairy,Jul-2015,0.0
SC Khairy,Aug-2015,0.0
SC Khairy,Sep-2015,0.0
SC Khairy,Oct-2015,0.0
SC Khairy,Nov-2015,0.0
SC Khairy,Dec-2015,0.0
SC Khairy,Jan-2016,0.0
SC Khairy,Feb-2016,0.0
SC Khairy,Mar-2016,0.0
SC Khairy,Total,0.0
SC Khalasna,Apr-2015,0.0
SC Khalasna,May-2015,0.0
SC Khalasna,Jun-2015,0.0
SC Khalasna,Jul-2015,0.0
SC Khalasna,Aug-2015,0.0
SC Khalasna,Sep-2015,0.0
SC Khalasna,Oct-2015,0.0
SC Khalasna,Nov-2015,0.0
SC Khalasna,Dec-2015,0.0
SC Khalasna,Jan-2016,0.0
SC Khalasna,Feb-2016,0.0
SC Khalasna,Mar-2016,0.0
SC Khalasna,Total,0.0
SC Khangao,Apr-2015,0.0
SC Khangao,May-2015,0.0
SC Khangao,Jun-2015,0.0
SC Khangao,Jul-2015,0.0
SC Khangao,Aug-2015,0.0
SC Khangao,Sep-2015,0.0
SC Khangao,Oct-2015,0.0
SC Khangao,Nov-2015,0.0
SC Khangao,Dec-2015,1.0
SC Khangao,Jan-2016,0.0
SC Khangao,Feb-2016,0.0
SC Khangao,Mar-2016,0.0
SC Khangao,Total,0.07526881720430108
SC Khapa (Narsala),Apr-2015,0.0
SC Khapa (Narsala),May-2015,0.0
SC Khapa (Narsala),Jun-2015,0.0
SC Khapa (Narsala),Jul-2015,0.0
SC Khapa (Narsala),Aug-2015,
SC Khapa (Narsala),Sep-2015,0.0
SC Khapa (Narsala),Oct-2015,0.0
SC Khapa (Narsala),Nov-2015,0.0
SC Khapa (Narsala),Dec-2015,0.0
SC Khapa (Narsala),Jan-2016,0.0
SC Khapa (Narsala),Feb-2016,0.0
SC Khapa (Narsala),Mar-2016,0.0
SC Khapa (Narsala),Total,0.0
SC Khaparkheda,Apr-2015,0.0
SC Khaparkheda,May-2015,0.0
SC Khaparkheda,Jun-2015,0.0
SC Khaparkheda,Jul-2015,0.0
SC Khaparkheda,Aug-2015,0.030303030303030304
SC Khaparkheda,Sep-2015,0.625
SC Khaparkheda,Oct-2015,0.0
SC Khaparkheda,Nov-2015,0.0
SC Khaparkheda,Dec-2015,0.0
SC Khaparkheda,Jan-2016,0.0
SC Khaparkheda,Feb-2016,0.0
SC Khaparkheda,Mar-2016,0.0
SC Khaparkheda,Total,0.059322033898305086
SC Khapri Gandhi,Apr-2015,0.0
SC Khapri Gandhi,May-2015,0.0
SC Khapri Gandhi,Jun-2015,0.0
SC Khapri Gandhi,Jul-2015,0.0
SC Khapri Gandhi,Aug-2015,0.0
SC Khapri Gandhi,Sep-2015,0.0
SC Khapri Gandhi,Oct-2015,0.0
SC Khapri Gandhi,Nov-2015,0.0
SC Khapri Gandhi,Dec-2015,0.0
SC Khapri Gandhi,Jan-2016,0.0
SC Khapri Gandhi,Feb-2016,0.0
SC Khapri Gandhi,Mar-2016,0.0
SC Khapri Gandhi,Total,0.0
SC Khapri Railway,Apr-2015,0.0
SC Khapri Railway,May-2015,0.0
SC Khapri Railway,Jun-2015,0.0
SC Khapri Railway,Jul-2015,0.0
SC Khapri Railway,Aug-2015,0.0
SC Khapri Railway,Sep-2015,0.0
SC Khapri Railway,Oct-2015,0.0
SC Khapri Railway,Nov-2015,0.0
SC Khapri Railway,Dec-2015,0.0
SC Khapri Railway,Jan-2016,0.0
SC Khapri Railway,Feb-2016,0.05555555555555555
SC Khapri Railway,Mar-2016,0.0
SC Khapri Railway,Total,0.0030120481927710845
SC Kharsoli,Apr-2015,0.0
SC Kharsoli,May-2015,0.0
SC Kharsoli,Jun-2015,0.0
SC Kharsoli,Jul-2015,0.0
SC Kharsoli,Aug-2015,0.0
SC Kharsoli,Sep-2015,0.0
SC Kharsoli,Oct-2015,0.0
SC Kharsoli,Nov-2015,0.0
SC Kharsoli,Dec-2015,0.0
SC Kharsoli,Jan-2016,0.0
SC Kharsoli,Feb-2016,0.0
SC Kharsoli,Mar-2016,0.0
SC Kharsoli,Total,0.0
SC Khasala,Apr-2015,0.0
SC Khasala,May-2015,0.0
SC Khasala,Jun-2015,0.0
SC Khasala,Jul-2015,0.0
SC Khasala,Aug-2015,0.0
SC Khasala,Sep-2015,0.0
SC Khasala,Oct-2015,0.0
SC Khasala,Nov-2015,0.0
SC Khasala,Dec-2015,0.0
SC Khasala,Jan-2016,0.0
SC Khasala,Feb-2016,0.0
SC Khasala,Mar-2016,0.0
SC Khasala,Total,0.0
SC Khat B,Apr-2015,0.0
SC Khat B,May-2015,0.0
SC Khat B,Jun-2015,0.0
SC Khat B,Jul-2015,0.0
SC Khat B,Aug-2015,0.0
SC Khat B,Sep-2015,0.0
SC Khat B,Oct-2015,0.0
SC Khat B,Nov-2015,0.0
SC Khat B,Dec-2015,0.0
SC Khat B,Jan-2016,0.0
SC Khat B,Feb-2016,0.0
SC Khat B,Mar-2016,0.5833333333333334
SC Khat B,Total,0.05982905982905983
SC Khubala,Apr-2015,0.0
SC Khubala,May-2015,0.0
SC Khubala,Jun-2015,0.0
SC Khubala,Jul-2015,0.0
SC Khubala,Aug-2015,0.0
SC Khubala,Sep-2015,0.0
SC Khubala,Oct-2015,0.0
SC Khubala,Nov-2015,0.0
SC Khubala,Dec-2015,0.0
SC Khubala,Jan-2016,0.0
SC Khubala,Feb-2016,0.5
SC Khubala,Mar-2016,0.0
SC Khubala,Total,0.0136986301369863
SC Khumari,Apr-2015,0.0
SC Khumari,May-2015,0.0
SC Khumari,Jun-2015,0.0
SC Khumari,Jul-2015,0.0
SC Khumari,Aug-2015,0.0
SC Khumari,Sep-2015,0.0
SC Khumari,Oct-2015,0.0
SC Khumari,Nov-2015,0.0
SC Khumari,Dec-2015,0.0
SC Khumari,Jan-2016,0.0
SC Khumari,Feb-2016,0.0
SC Khumari,Mar-2016,0.0
SC Khumari,Total,0.0
SC Khursapar,Apr-2015,0.0
SC Khursapar,May-2015,0.0
SC Khursapar,Jun-2015,0.0
SC Khursapar,Jul-2015,0.0
SC Khursapar,Aug-2015,0.18181818181818182
SC Khursapar,Sep-2015,0.0
SC Khursapar,Oct-2015,0.0
SC Khursapar,Nov-2015,
SC Khursapar,Dec-2015,0.0
SC Khursapar,Jan-2016,
SC Khursapar,Feb-2016,0.0
SC Khursapar,Mar-2016,
SC Khursapar,Total,0.05405405405405406
SC Khursapar Kondhali,Apr-2015,0.0
SC Khursapar Kondhali,May-2015,0.0
SC Khursapar Kondhali,Jun-2015,0.0
SC Khursapar Kondhali,Jul-2015,0.0
SC Khursapar Kondhali,Aug-2015,0.0
SC Khursapar Kondhali,Sep-2015,0.0
SC Khursapar Kondhali,Oct-2015,0.0
SC Khursapar Kondhali,Nov-2015,0.0
SC Khursapar Kondhali,Dec-2015,0.0
SC Khursapar Kondhali,Jan-2016,0.0
SC Khursapar Kondhali,Feb-2016,0.0
SC Khursapar Kondhali,Mar-2016,0.0
SC Khursapar Kondhali,Total,0.0
SC Kinahala,Apr-2015,0.0
SC Kinahala,May-2015,0.0
SC Kinahala,Jun-2015,
SC Kinahala,Jul-2015,0.0
SC Kinahala,Aug-2015,0.0
SC Kinahala,Sep-2015,0.0
SC Kinahala,Oct-2015,0.0
SC Kinahala,Nov-2015,
SC Kinahala,Dec-2015,
SC Kinahala,Jan-2016,0.0
SC Kinahala,Feb-2016,0.0
SC Kinahala,Mar-2016,0.0
SC Kinahala,Total,0.0
SC Kodegaon,Apr-2015,0.0
SC Kodegaon,May-2015,0.0
SC Kodegaon,Jun-2015,0.0
SC Kodegaon,Jul-2015,0.0
SC Kodegaon,Aug-2015,0.0
SC Kodegaon,Sep-2015,0.0
SC Kodegaon,Oct-2015,0.0
SC Kodegaon,Nov-2015,0.7333333333333333
SC Kodegaon,Dec-2015,0.0
SC Kodegaon,Jan-2016,0.0
SC Kodegaon,Feb-2016,0.0
SC Kodegaon,Mar-2016,0.0
SC Kodegaon,Total,0.102803738317757
SC Kohali,Apr-2015,0.0
SC Kohali,May-2015,0.0
SC Kohali,Jun-2015,0.0
SC Kohali,Jul-2015,0.0
SC Kohali,Aug-2015,0.0
SC Kohali,Sep-2015,0.0
SC Kohali,Oct-2015,0.041666666666666664
SC Kohali,Nov-2015,0.0
SC Kohali,Dec-2015,0.0
SC Kohali,Jan-2016,0.0
SC Kohali,Feb-2016,0.0
SC Kohali,Mar-2016,0.0
SC Kohali,Total,0.004629629629629629
SC Kolitmara,Apr-2015,0.0
SC Kolitmara,May-2015,0.0
SC Kolitmara,Jun-2015,0.0
SC Kolitmara,Jul-2015,0.0
SC Kolitmara,Aug-2015,0.0
SC Kolitmara,Sep-2015,0.0
SC Kolitmara,Oct-2015,0.0
SC Kolitmara,Nov-2015,0.0
SC Kolitmara,Dec-2015,0.0
SC Kolitmara,Jan-2016,0.0
SC Kolitmara,Feb-2016,0.0
SC Kolitmara,Mar-2016,0.08333333333333333
SC Kolitmara,Total,0.010752688172043012
SC Kondamendhi B,Apr-2015,0.0
SC Kondamendhi B,May-2015,0.0
SC Kondamendhi B,Jun-2015,0.0
SC Kondamendhi B,Jul-2015,0.0
SC Kondamendhi B,Aug-2015,0.0
SC Kondamendhi B,Sep-2015,0.0
SC Kondamendhi B,Oct-2015,0.0
SC Kondamendhi B,Nov-2015,0.0
SC Kondamendhi B,Dec-2015,0.0
SC Kondamendhi B,Jan-2016,0.0
SC Kondamendhi B,Feb-2016,0.0
SC Kondamendhi B,Mar-2016,0.0
SC Kondamendhi B,Total,0.0
SC Kondhasawli,Apr-2015,
SC Kondhasawli,May-2015,0.0
SC Kondhasawli,Jun-2015,0.0
SC Kondhasawli,Jul-2015,0.0
SC Kondhasawli,Aug-2015,0.0
SC Kondhasawli,Sep-2015,0.0
SC Kondhasawli,Oct-2015,0.0
SC Kondhasawli,Nov-2015,0.0
SC Kondhasawli,Dec-2015,0.0
SC Kondhasawli,Jan-2016,0.0
SC Kondhasawli,Feb-2016,0.0
SC Kondhasawli,Mar-2016,0.0
SC Kondhasawli,Total,0.0
SC Koradi New,Apr-2015,0.0
SC Koradi New,May-2015,0.0
SC Koradi New,Jun-2015,0.0
SC Koradi New,Jul-2015,0.0
SC Koradi New,Aug-2015,0.0
SC Koradi New,Sep-2015,0.0
SC Koradi New,Oct-2015,0.1111111111111111
SC Koradi New,Nov-2015,0.25
SC Koradi New,Dec-2015,0.0
SC Koradi New,Jan-2016,0.0
SC Koradi New,Feb-2016,0.0
SC Koradi New,Mar-2016,0.0
SC Koradi New,Total,0.009316770186335404
SC Koradi Old,Apr-2015,0.0
SC Koradi Old,May-2015,0.0
SC Koradi Old,Jun-2015,0.0
SC Koradi Old,Jul-2015,0.0
SC Koradi Old,Aug-2015,0.0
SC Koradi Old,Sep-2015,0.0
SC Koradi Old,Oct-2015,0.0
SC Koradi Old,Nov-2015,0.0
SC Koradi Old,Dec-2015,0.0
SC Koradi Old,Jan-2016,0.5
SC Koradi Old,Feb-2016,0.0
SC Koradi Old,Mar-2016,0.0
SC Koradi Old,Total,0.04081632653061224
SC Kotcchi,Apr-2015,0.0
SC Kotcchi,May-2015,0.0
SC Kotcchi,Jun-2015,0.0
