,,Fraction of pregnant women registered under JSY
SC Butibori New,Jul-2015,0.3333333333333333
SC Butibori New,Aug-2015,0.21052631578947367
SC Butibori New,Sep-2015,0.1
SC Butibori New,Oct-2015,0.2857142857142857
SC Butibori New,Nov-2015,0.2909090909090909
SC Butibori New,Dec-2015,0.37254901960784315
SC Butibori New,Jan-2016,0.2653061224489796
SC Butibori New,Feb-2016,0.25806451612903225
SC Butibori New,Mar-2016,0.2926829268292683
SC Butibori New,Total,0.2846153846153846
SC Butibori old,Apr-2015,0.2857142857142857
SC Butibori old,May-2015,0.42857142857142855
SC Butibori old,Jun-2015,0.6666666666666666
SC Butibori old,Jul-2015,0.19047619047619047
SC Butibori old,Aug-2015,0.15384615384615385
SC Butibori old,Sep-2015,0.23076923076923078
SC Butibori old,Oct-2015,0.14285714285714285
SC Butibori old,Nov-2015,0.35714285714285715
SC Butibori old,Dec-2015,0.2
SC Butibori old,Jan-2016,0.5555555555555556
SC Butibori old,Feb-2016,0.42857142857142855
SC Butibori old,Mar-2016,0.21052631578947367
SC Butibori old,Total,0.2972972972972973
SC COLMINCE,Apr-2015,0.08333333333333333
SC COLMINCE,May-2015,0.25
SC COLMINCE,Jun-2015,0.21428571428571427
SC COLMINCE,Jul-2015,0.19047619047619047
SC COLMINCE,Aug-2015,0.0
SC COLMINCE,Sep-2015,0.1875
SC COLMINCE,Oct-2015,0.3
SC COLMINCE,Nov-2015,0.2222222222222222
SC COLMINCE,Dec-2015,0.14285714285714285
SC COLMINCE,Jan-2016,0.2
SC COLMINCE,Feb-2016,0.4
SC COLMINCE,Mar-2016,0.38461538461538464
SC COLMINCE,Total,0.2
SC Chacher,Apr-2015,0.14285714285714285
SC Chacher,May-2015,0.0
SC Chacher,Jun-2015,0.0
SC Chacher,Jul-2015,0.0
SC Chacher,Aug-2015,0.23076923076923078
SC Chacher,Sep-2015,0.09090909090909091
SC Chacher,Oct-2015,0.16666666666666666
SC Chacher,Nov-2015,0.0
SC Chacher,Dec-2015,0.14285714285714285
SC Chacher,Jan-2016,0.2857142857142857
SC Chacher,Feb-2016,0.0
SC Chacher,Mar-2016,0.0
SC Chacher,Total,0.10218978102189781
SC Champa,Apr-2015,0.25
SC Champa,May-2015,0.6666666666666666
SC Champa,Jun-2015,0.5
SC Champa,Jul-2015,0.5
SC Champa,Aug-2015,0.5
SC Champa,Sep-2015,0.75
SC Champa,Oct-2015,1.0
SC Champa,Nov-2015,0.5
SC Champa,Dec-2015,0.42857142857142855
SC Champa,Jan-2016,0.75
SC Champa,Feb-2016,0.6153846153846154
SC Champa,Mar-2016,0.4444444444444444
SC Champa,Total,0.5421686746987951
SC Chapegadi,Apr-2015,0.3333333333333333
SC Chapegadi,May-2015,0.6666666666666666
SC Chapegadi,Jun-2015,0.25
SC Chapegadi,Jul-2015,0.6666666666666666
SC Chapegadi,Aug-2015,0.25
SC Chapegadi,Sep-2015,0.0
SC Chapegadi,Oct-2015,0.25
SC Chapegadi,Nov-2015,1.0
SC Chapegadi,Dec-2015,0.6666666666666666
SC Chapegadi,Jan-2016,1.6
SC Chapegadi,Feb-2016,1.0
SC Chapegadi,Mar-2016,1.0
SC Chapegadi,Total,0.6557377049180327
SC Chichala,Apr-2015,0.6363636363636364
SC Chichala,May-2015,0.2222222222222222
SC Chichala,Jun-2015,0.2222222222222222
SC Chichala,Jul-2015,0.26666666666666666
SC Chichala,Aug-2015,0.09090909090909091
SC Chichala,Sep-2015,0.0
SC Chichala,Oct-2015,0.0
SC Chichala,Nov-2015,0.2222222222222222
SC Chichala,Dec-2015,0.4166666666666667
SC Chichala,Jan-2016,0.42857142857142855
SC Chichala,Feb-2016,0.23529411764705882
SC Chichala,Mar-2016,0.23076923076923078
SC Chichala,Total,0.2571428571428571
SC Chicholi,Apr-2015,
SC Chicholi,May-2015,
SC Chicholi,Jun-2015,
SC Chicholi,Jul-2015,
SC Chicholi,Aug-2015,
SC Chicholi,Sep-2015,
SC Chicholi,Oct-2015,
SC Chicholi,Nov-2015,
SC Chicholi,Dec-2015,
SC Chicholi,Jan-2016,
SC Chicholi,Feb-2016,
SC Chicholi,Mar-2016,
SC Chicholi,Total,
SC DAWSA,Apr-2015,1.0
SC DAWSA,May-2015,0.6666666666666666
SC DAWSA,Jun-2015,0.6666666666666666
SC DAWSA,Jul-2015,1.0
SC DAWSA,Aug-2015,0.0
SC DAWSA,Sep-2015,0.5
SC DAWSA,Oct-2015,0.5
SC DAWSA,Nov-2015,0.0
SC DAWSA,Dec-2015,0.0
SC DAWSA,Jan-2016,0.6666666666666666
SC DAWSA,Feb-2016,0.6
SC DAWSA,Mar-2016,0.2
SC DAWSA,Total,0.4230769230769231
SC DHAMANGAON Jawali,Apr-2015,1.0
SC DHAMANGAON Jawali,May-2015,0.5
SC DHAMANGAON Jawali,Jun-2015,1.0
SC DHAMANGAON Jawali,Jul-2015,1.0
SC DHAMANGAON Jawali,Aug-2015,1.0
SC DHAMANGAON Jawali,Sep-2015,0.7777777777777778
SC DHAMANGAON Jawali,Oct-2015,0.875
SC DHAMANGAON Jawali,Nov-2015,1.0
SC DHAMANGAON Jawali,Dec-2015,1.0
SC DHAMANGAON Jawali,Jan-2016,0.7142857142857143
SC DHAMANGAON Jawali,Feb-2016,1.0
SC DHAMANGAON Jawali,Mar-2016,1.0
SC DHAMANGAON Jawali,Total,0.8695652173913043
SC DHAPRLA,Apr-2015,0.8
SC DHAPRLA,May-2015,1.0
SC DHAPRLA,Jun-2015,0.5
SC DHAPRLA,Jul-2015,0.0
SC DHAPRLA,Aug-2015,0.75
SC DHAPRLA,Sep-2015,0.7142857142857143
SC DHAPRLA,Oct-2015,1.0
SC DHAPRLA,Nov-2015,0.6
SC DHAPRLA,Dec-2015,0.0
SC DHAPRLA,Jan-2016,0.6
SC DHAPRLA,Feb-2016,0.5
SC DHAPRLA,Mar-2016,0.5
SC DHAPRLA,Total,0.6346153846153846
SC DHARMPAUR,Apr-2015,0.5
SC DHARMPAUR,May-2015,0.8571428571428571
SC DHARMPAUR,Jun-2015,1.0
SC DHARMPAUR,Jul-2015,0.75
SC DHARMPAUR,Aug-2015,0.8571428571428571
SC DHARMPAUR,Sep-2015,0.16666666666666666
SC DHARMPAUR,Oct-2015,0.75
SC DHARMPAUR,Nov-2015,0.5
SC DHARMPAUR,Dec-2015,0.6363636363636364
SC DHARMPAUR,Jan-2016,0.75
SC DHARMPAUR,Feb-2016,0.3333333333333333
SC DHARMPAUR,Mar-2016,0.5
SC DHARMPAUR,Total,0.6363636363636364
SC Dahegaon JOSHI,Apr-2015,0.3333333333333333
SC Dahegaon JOSHI,May-2015,
SC Dahegaon JOSHI,Jun-2015,0.0
SC Dahegaon JOSHI,Jul-2015,0.25
SC Dahegaon JOSHI,Aug-2015,0.5
SC Dahegaon JOSHI,Sep-2015,0.0
SC Dahegaon JOSHI,Oct-2015,0.42857142857142855
SC Dahegaon JOSHI,Nov-2015,
SC Dahegaon JOSHI,Dec-2015,0.0
SC Dahegaon JOSHI,Jan-2016,
SC Dahegaon JOSHI,Feb-2016,0.0
SC Dahegaon JOSHI,Mar-2016,1.0
SC Dahegaon JOSHI,Total,0.2857142857142857
SC Dahegaon Khat,Apr-2015,0.16666666666666666
SC Dahegaon Khat,May-2015,0.16666666666666666
SC Dahegaon Khat,Jun-2015,0.14285714285714285
SC Dahegaon Khat,Jul-2015,0.0
SC Dahegaon Khat,Aug-2015,0.2857142857142857
SC Dahegaon Khat,Sep-2015,0.2
SC Dahegaon Khat,Oct-2015,0.3333333333333333
SC Dahegaon Khat,Nov-2015,0.0
SC Dahegaon Khat,Dec-2015,0.0
SC Dahegaon Khat,Jan-2016,0.4
SC Dahegaon Khat,Feb-2016,0.2
SC Dahegaon Khat,Mar-2016,0.5
SC Dahegaon Khat,Total,0.19696969696969696
SC Dahoda,Apr-2015,1.0
SC Dahoda,May-2015,1.0
SC Dahoda,Jun-2015,1.0
SC Dahoda,Jul-2015,1.0
SC Dahoda,Aug-2015,1.0
SC Dahoda,Sep-2015,0.8
SC Dahoda,Oct-2015,1.0
SC Dahoda,Nov-2015,
SC Dahoda,Dec-2015,0.6666666666666666
SC Dahoda,Jan-2016,1.0
SC Dahoda,Feb-2016,1.0
SC Dahoda,Mar-2016,0.75
SC Dahoda,Total,0.8918918918918919
SC Davvha,Apr-2015,0.6666666666666666
SC Davvha,May-2015,0.0
SC Davvha,Jun-2015,0.5
SC Davvha,Jul-2015,1.0
SC Davvha,Aug-2015,0.6666666666666666
SC Davvha,Sep-2015,0.5
SC Davvha,Oct-2015,0.4444444444444444
SC Davvha,Nov-2015,1.0
SC Davvha,Dec-2015,1.0
SC Davvha,Jan-2016,0.75
SC Davvha,Feb-2016,0.6
SC Davvha,Mar-2016,0.75
SC Davvha,Total,0.6470588235294118
SC Degma khurd,Apr-2015,0.5
SC Degma khurd,May-2015,0.5
SC Degma khurd,Jun-2015,0.4
SC Degma khurd,Jul-2015,0.5
SC Degma khurd,Aug-2015,0.3333333333333333
SC Degma khurd,Sep-2015,0.4444444444444444
SC Degma khurd,Oct-2015,0.0
SC Degma khurd,Nov-2015,
SC Degma khurd,Dec-2015,0.16666666666666666
SC Degma khurd,Jan-2016,0.3333333333333333
SC Degma khurd,Feb-2016,0.0
SC Degma khurd,Mar-2016,0.0
SC Degma khurd,Total,0.29411764705882354
SC Devalapar,Apr-2015,0.9
SC Devalapar,May-2015,1.0
SC Devalapar,Jun-2015,0.9166666666666666
SC Devalapar,Jul-2015,0.9
SC Devalapar,Aug-2015,0.75
SC Devalapar,Sep-2015,0.7272727272727273
SC Devalapar,Oct-2015,0.7272727272727273
SC Devalapar,Nov-2015,0.875
SC Devalapar,Dec-2015,0.6666666666666666
SC Devalapar,Jan-2016,0.5714285714285714
SC Devalapar,Feb-2016,1.0
SC Devalapar,Mar-2016,0.75
SC Devalapar,Total,0.8144329896907216
SC Devali Pendhari,Apr-2015,0.2
SC Devali Pendhari,May-2015,0.5
SC Devali Pendhari,Jun-2015,0.6666666666666666
SC Devali Pendhari,Jul-2015,0.2
SC Devali Pendhari,Aug-2015,0.5
SC Devali Pendhari,Sep-2015,0.0
SC Devali Pendhari,Oct-2015,0.0
SC Devali Pendhari,Nov-2015,0.0
SC Devali Pendhari,Dec-2015,0.5
SC Devali Pendhari,Jan-2016,0.4
SC Devali Pendhari,Feb-2016,0.0
SC Devali Pendhari,Mar-2016,0.5
SC Devali Pendhari,Total,0.28846153846153844
SC Dhamna,Apr-2015,0.4117647058823529
SC Dhamna,May-2015,0.1875
SC Dhamna,Jun-2015,0.32
SC Dhamna,Jul-2015,0.4146341463414634
SC Dhamna,Aug-2015,0.3
SC Dhamna,Sep-2015,0.375
SC Dhamna,Oct-2015,0.2857142857142857
SC Dhamna,Nov-2015,0.0
SC Dhamna,Dec-2015,0.0
SC Dhamna,Jan-2016,0.09090909090909091
SC Dhamna,Feb-2016,0.3157894736842105
SC Dhamna,Mar-2016,0.2857142857142857
SC Dhamna,Total,0.27147766323024053
SC Dhanla,Apr-2015,0.2
SC Dhanla,May-2015,0.7777777777777778
SC Dhanla,Jun-2015,0.2
SC Dhanla,Jul-2015,0.25
SC Dhanla,Aug-2015,0.07142857142857142
SC Dhanla,Sep-2015,0.0
SC Dhanla,Oct-2015,0.5
SC Dhanla,Nov-2015,0.5
SC Dhanla,Dec-2015,0.2
SC Dhanla,Jan-2016,0.16666666666666666
SC Dhanla,Feb-2016,0.2222222222222222
SC Dhanla,Mar-2016,0.17647058823529413
SC Dhanla,Total,0.25
SC Dhanla Yenava,Apr-2015,0.0
SC Dhanla Yenava,May-2015,0.3333333333333333
SC Dhanla Yenava,Jun-2015,0.4
SC Dhanla Yenava,Jul-2015,0.0
SC Dhanla Yenava,Aug-2015,0.0
SC Dhanla Yenava,Sep-2015,0.0
SC Dhanla Yenava,Oct-2015,
SC Dhanla Yenava,Nov-2015,0.0
SC Dhanla Yenava,Dec-2015,0.5
SC Dhanla Yenava,Jan-2016,0.0
SC Dhanla Yenava,Feb-2016,
SC Dhanla Yenava,Mar-2016,
SC Dhanla Yenava,Total,0.14814814814814814
SC Dhanoli Kondamendhi,Apr-2015,0.3333333333333333
SC Dhanoli Kondamendhi,May-2015,0.375
SC Dhanoli Kondamendhi,Jun-2015,0.5
SC Dhanoli Kondamendhi,Jul-2015,0.125
SC Dhanoli Kondamendhi,Aug-2015,0.375
SC Dhanoli Kondamendhi,Sep-2015,0.42857142857142855
SC Dhanoli Kondamendhi,Oct-2015,0.3333333333333333
SC Dhanoli Kondamendhi,Nov-2015,0.2857142857142857
SC Dhanoli Kondamendhi,Dec-2015,0.3333333333333333
SC Dhanoli Kondamendhi,Jan-2016,0.14285714285714285
SC Dhanoli Kondamendhi,Feb-2016,0.2857142857142857
SC Dhanoli Kondamendhi,Mar-2016,0.2857142857142857
SC Dhanoli Kondamendhi,Total,0.3103448275862069
SC Dhapewada Khurd,Apr-2015,0.4
SC Dhapewada Khurd,May-2015,0.3333333333333333
SC Dhapewada Khurd,Jun-2015,1.0
SC Dhapewada Khurd,Jul-2015,0.5
SC Dhapewada Khurd,Aug-2015,0.5
SC Dhapewada Khurd,Sep-2015,0.3333333333333333
SC Dhapewada Khurd,Oct-2015,0.0
SC Dhapewada Khurd,Nov-2015,0.0
SC Dhapewada Khurd,Dec-2015,0.25
SC Dhapewada Khurd,Jan-2016,0.0
SC Dhapewada Khurd,Feb-2016,0.0
SC Dhapewada Khurd,Mar-2016,0.0
SC Dhapewada Khurd,Total,0.3548387096774194
SC Dharmapuri Khat,Apr-2015,0.0
SC Dharmapuri Khat,May-2015,0.08333333333333333
SC Dharmapuri Khat,Jun-2015,0.25
SC Dharmapuri Khat,Jul-2015,0.36363636363636365
SC Dharmapuri Khat,Aug-2015,0.14285714285714285
SC Dharmapuri Khat,Sep-2015,0.2727272727272727
SC Dharmapuri Khat,Oct-2015,0.36363636363636365
SC Dharmapuri Khat,Nov-2015,0.3333333333333333
SC Dharmapuri Khat,Dec-2015,0.4
SC Dharmapuri Khat,Jan-2016,0.625
SC Dharmapuri Khat,Feb-2016,0.16666666666666666
SC Dharmapuri Khat,Mar-2016,0.2
SC Dharmapuri Khat,Total,0.27722772277227725
SC Dhawlapur,Apr-2015,0.2857142857142857
SC Dhawlapur,May-2015,0.6
SC Dhawlapur,Jun-2015,0.8
SC Dhawlapur,Jul-2015,0.5
SC Dhawlapur,Aug-2015,0.3333333333333333
SC Dhawlapur,Sep-2015,0.42857142857142855
SC Dhawlapur,Oct-2015,0.6666666666666666
SC Dhawlapur,Nov-2015,0.6666666666666666
SC Dhawlapur,Dec-2015,0.6666666666666666
SC Dhawlapur,Jan-2016,0.3333333333333333
SC Dhawlapur,Feb-2016,0.5
SC Dhawlapur,Mar-2016,0.6
SC Dhawlapur,Total,0.5223880597014925
SC Digdoh,Apr-2015,0.2463768115942029
SC Digdoh,May-2015,0.2962962962962963
SC Digdoh,Jun-2015,0.3018867924528302
SC Digdoh,Jul-2015,0.3424657534246575
SC Digdoh,Aug-2015,0.6376811594202898
SC Digdoh,Sep-2015,0.4117647058823529
SC Digdoh,Oct-2015,0.23943661971830985
SC Digdoh,Nov-2015,0.2857142857142857
SC Digdoh,Dec-2015,0.5797101449275363
SC Digdoh,Jan-2016,0.2916666666666667
SC Digdoh,Feb-2016,0.45454545454545453
SC Digdoh,Mar-2016,0.38461538461538464
SC Digdoh,Total,0.37592867756315007
SC Dighori,Apr-2015,0.6666666666666666
SC Dighori,May-2015,0.2222222222222222
SC Dighori,Jun-2015,0.5
SC Dighori,Jul-2015,0.5
SC Dighori,Aug-2015,0.0
SC Dighori,Sep-2015,0.25
SC Dighori,Oct-2015,0.3333333333333333
SC Dighori,Nov-2015,0.3333333333333333
SC Dighori,Dec-2015,0.3333333333333333
SC Dighori,Jan-2016,0.3333333333333333
SC Dighori,Feb-2016,0.3333333333333333
SC Dighori,Mar-2016,0.5
SC Dighori,Total,0.34782608695652173
SC Digrus  bu.,Apr-2015,0.75
SC Digrus  bu.,May-2015,0.6666666666666666
SC Digrus  bu.,Jun-2015,0.3333333333333333
SC Digrus  bu.,Jul-2015,0.25
SC Digrus  bu.,Aug-2015,0.0
SC Digrus  bu.,Sep-2015,1.0
SC Digrus  bu.,Oct-2015,0.6666666666666666
SC Digrus  bu.,Nov-2015,0.3333333333333333
SC Digrus  bu.,Dec-2015,0.3333333333333333
SC Digrus  bu.,Jan-2016,0.8
SC Digrus  bu.,Feb-2016,0.6666666666666666
SC Digrus  bu.,Mar-2016,0.6666666666666666
SC Digrus  bu.,Total,0.5348837209302325
SC Dongargaon Borkhedi,Apr-2015,0.13333333333333333
SC Dongargaon Borkhedi,May-2015,0.625
SC Dongargaon Borkhedi,Jun-2015,0.35294117647058826
SC Dongargaon Borkhedi,Jul-2015,0.3125
SC Dongargaon Borkhedi,Aug-2015,0.38461538461538464
SC Dongargaon Borkhedi,Sep-2015,0.4666666666666667
SC Dongargaon Borkhedi,Oct-2015,0.3684210526315789
SC Dongargaon Borkhedi,Nov-2015,0.35714285714285715
SC Dongargaon Borkhedi,Dec-2015,0.4375
SC Dongargaon Borkhedi,Jan-2016,0.4166666666666667
SC Dongargaon Borkhedi,Feb-2016,0.3076923076923077
SC Dongargaon Borkhedi,Mar-2016,0.5333333333333333
SC Dongargaon Borkhedi,Total,0.3815028901734104
SC Dongargaon Yenava,Apr-2015,0.4
SC Dongargaon Yenava,May-2015,0.2
SC Dongargaon Yenava,Jun-2015,0.0
SC Dongargaon Yenava,Jul-2015,0.0
SC Dongargaon Yenava,Aug-2015,0.25
SC Dongargaon Yenava,Sep-2015,0.16666666666666666
SC Dongargaon Yenava,Oct-2015,0.3333333333333333
SC Dongargaon Yenava,Nov-2015,0.0
SC Dongargaon Yenava,Dec-2015,0.0
SC Dongargaon Yenava,Jan-2016,0.0
SC Dongargaon Yenava,Feb-2016,0.0
SC Dongargaon Yenava,Mar-2016,0.8888888888888888
SC Dongargaon Yenava,Total,0.22580645161290322
SC Dongari Nagardhan,Apr-2015,1.0
SC Dongari Nagardhan,May-2015,0.5
SC Dongari Nagardhan,Jun-2015,0.3333333333333333
SC Dongari Nagardhan,Jul-2015,0.0
SC Dongari Nagardhan,Aug-2015,0.16666666666666666
SC Dongari Nagardhan,Sep-2015,0.0
SC Dongari Nagardhan,Oct-2015,0.0
SC Dongari Nagardhan,Nov-2015,0.5
SC Dongari Nagardhan,Dec-2015,0.3333333333333333
SC Dongari Nagardhan,Jan-2016,1.0
SC Dongari Nagardhan,Feb-2016,1.0
SC Dongari Nagardhan,Mar-2016,0.0
SC Dongari Nagardhan,Total,0.4489795918367347
SC Dongarmauda,Apr-2015,0.3333333333333333
SC Dongarmauda,May-2015,0.25
SC Dongarmauda,Jun-2015,0.0
SC Dongarmauda,Jul-2015,0.6666666666666666
SC Dongarmauda,Aug-2015,0.2857142857142857
SC Dongarmauda,Sep-2015,0.75
SC Dongarmauda,Oct-2015,1.0
SC Dongarmauda,Nov-2015,0.0
SC Dongarmauda,Dec-2015,0.4
SC Dongarmauda,Jan-2016,0.0
SC Dongarmauda,Feb-2016,1.0
SC Dongarmauda,Mar-2016,0.0
SC Dongarmauda,Total,0.43902439024390244
SC Dorli  Bha.,Apr-2015,0.25
SC Dorli  Bha.,May-2015,1.0
SC Dorli  Bha.,Jun-2015,0.0
SC Dorli  Bha.,Jul-2015,0.0
SC Dorli  Bha.,Aug-2015,0.0
SC Dorli  Bha.,Sep-2015,0.5
SC Dorli  Bha.,Oct-2015,0.5
SC Dorli  Bha.,Nov-2015,0.5
SC Dorli  Bha.,Dec-2015,1.0
SC Dorli  Bha.,Jan-2016,0.0
SC Dorli  Bha.,Feb-2016,0.0
SC Dorli  Bha.,Mar-2016,0.5
SC Dorli  Bha.,Total,0.34615384615384615
SC Dorli  Bhi.,Apr-2015,0.5
SC Dorli  Bhi.,May-2015,0.5
SC Dorli  Bhi.,Jun-2015,1.0
SC Dorli  Bhi.,Jul-2015,0.4
SC Dorli  Bhi.,Aug-2015,0.4
SC Dorli  Bhi.,Sep-2015,1.0
SC Dorli  Bhi.,Oct-2015,0.7777777777777778
SC Dorli  Bhi.,Nov-2015,0.5
SC Dorli  Bhi.,Dec-2015,0.42857142857142855
SC Dorli  Bhi.,Jan-2016,0.7142857142857143
SC Dorli  Bhi.,Feb-2016,0.6666666666666666
SC Dorli  Bhi.,Mar-2016,0.2857142857142857
SC Dorli  Bhi.,Total,0.5901639344262295
SC Dudhala,Apr-2015,0.3333333333333333
SC Dudhala,May-2015,0.5
SC Dudhala,Jun-2015,0.1111111111111111
SC Dudhala,Jul-2015,0.18181818181818182
SC Dudhala,Aug-2015,0.0
SC Dudhala,Sep-2015,0.25
SC Dudhala,Oct-2015,0.4444444444444444
SC Dudhala,Nov-2015,0.0
SC Dudhala,Dec-2015,0.0
SC Dudhala,Jan-2016,0.14285714285714285
SC Dudhala,Feb-2016,0.45454545454545453
SC Dudhala,Mar-2016,0.2857142857142857
SC Dudhala,Total,0.24050632911392406
SC Dudhala Kondhali,Apr-2015,0.7272727272727273
SC Dudhala Kondhali,May-2015,0.4
SC Dudhala Kondhali,Jun-2015,0.5
SC Dudhala Kondhali,Jul-2015,0.5
SC Dudhala Kondhali,Aug-2015,0.6
SC Dudhala Kondhali,Sep-2015,0.42857142857142855
SC Dudhala Kondhali,Oct-2015,0.375
SC Dudhala Kondhali,Nov-2015,0.36363636363636365
SC Dudhala Kondhali,Dec-2015,0.42857142857142855
SC Dudhala Kondhali,Jan-2016,0.2
SC Dudhala Kondhali,Feb-2016,0.16666666666666666
SC Dudhala Kondhali,Mar-2016,0.42857142857142855
SC Dudhala Kondhali,Total,0.4074074074074074
SC Fegad,Apr-2015,0.0
SC Fegad,May-2015,0.0
SC Fegad,Jun-2015,0.6666666666666666
SC Fegad,Jul-2015,0.16666666666666666
SC Fegad,Aug-2015,0.0
SC Fegad,Sep-2015,0.0
SC Fegad,Oct-2015,0.25
SC Fegad,Nov-2015,0.0
SC Fegad,Dec-2015,0.0
SC Fegad,Jan-2016,0.14285714285714285
SC Fegad,Feb-2016,0.5
SC Fegad,Mar-2016,0.5
SC Fegad,Total,0.1864406779661017
SC Fetari,Apr-2015,0.42857142857142855
SC Fetari,May-2015,0.14285714285714285
SC Fetari,Jun-2015,0.0
SC Fetari,Jul-2015,0.14285714285714285
SC Fetari,Aug-2015,0.4444444444444444
SC Fetari,Sep-2015,0.7142857142857143
SC Fetari,Oct-2015,0.25
SC Fetari,Nov-2015,0.5
SC Fetari,Dec-2015,0.7272727272727273
SC Fetari,Jan-2016,0.42857142857142855
SC Fetari,Feb-2016,0.625
SC Fetari,Mar-2016,0.3333333333333333
SC Fetari,Total,0.39361702127659576
SC Gagner,Apr-2015,0.25
SC Gagner,May-2015,0.3333333333333333
SC Gagner,Jun-2015,1.0
SC Gagner,Jul-2015,0.7272727272727273
SC Gagner,Aug-2015,1.0
SC Gagner,Sep-2015,0.14285714285714285
SC Gagner,Oct-2015,0.14285714285714285
SC Gagner,Nov-2015,0.16666666666666666
SC Gagner,Dec-2015,1.0
SC Gagner,Jan-2016,0.2
SC Gagner,Feb-2016,0.5
SC Gagner,Mar-2016,0.25
SC Gagner,Total,0.4875
SC Garamsur Kondhali,Apr-2015,0.4
SC Garamsur Kondhali,May-2015,1.0
SC Garamsur Kondhali,Jun-2015,0.5
SC Garamsur Kondhali,Jul-2015,1.0
SC Garamsur Kondhali,Aug-2015,0.8333333333333334
SC Garamsur Kondhali,Sep-2015,0.5
SC Garamsur Kondhali,Oct-2015,0.3333333333333333
SC Garamsur Kondhali,Nov-2015,0.5
SC Garamsur Kondhali,Dec-2015,0.0
SC Garamsur Kondhali,Jan-2016,1.0
SC Garamsur Kondhali,Feb-2016,0.6666666666666666
SC Garamsur Kondhali,Mar-2016,0.6666666666666666
SC Garamsur Kondhali,Total,0.6
SC Gharatwada,Apr-2015,0.4
SC Gharatwada,May-2015,0.0
SC Gharatwada,Jun-2015,0.5
SC Gharatwada,Jul-2015,0.4
SC Gharatwada,Aug-2015,0.0
SC Gharatwada,Sep-2015,0.8
SC Gharatwada,Oct-2015,1.0
SC Gharatwada,Nov-2015,0.5
SC Gharatwada,Dec-2015,1.0
SC Gharatwada,Jan-2016,1.0
SC Gharatwada,Feb-2016,1.0
SC Gharatwada,Mar-2016,0.8
SC Gharatwada,Total,0.5777777777777777
SC Ghoti Hiwara,Apr-2015,1.0
SC Ghoti Hiwara,May-2015,1.0
SC Ghoti Hiwara,Jun-2015,1.0
SC Ghoti Hiwara,Jul-2015,1.0
SC Ghoti Hiwara,Aug-2015,0.5
SC Ghoti Hiwara,Sep-2015,1.0
SC Ghoti Hiwara,Oct-2015,1.0
SC Ghoti Hiwara,Nov-2015,0.6666666666666666
SC Ghoti Hiwara,Dec-2015,1.0
SC Ghoti Hiwara,Jan-2016,0.75
SC Ghoti Hiwara,Feb-2016,1.0
SC Ghoti Hiwara,Mar-2016,0.6666666666666666
SC Ghoti Hiwara,Total,0.875
SC Godhani Railway,Apr-2015,0.4166666666666667
SC Godhani Railway,May-2015,0.6666666666666666
SC Godhani Railway,Jun-2015,0.36363636363636365
SC Godhani Railway,Jul-2015,0.25
SC Godhani Railway,Aug-2015,0.35294117647058826
SC Godhani Railway,Sep-2015,0.2222222222222222
SC Godhani Railway,Oct-2015,0.3076923076923077
SC Godhani Railway,Nov-2015,0.45454545454545453
SC Godhani Railway,Dec-2015,0.4166666666666667
SC Godhani Railway,Jan-2016,0.2727272727272727
SC Godhani Railway,Feb-2016,0.1
SC Godhani Railway,Mar-2016,0.3333333333333333
SC Godhani Railway,Total,0.35260115606936415
SC Godhni,Apr-2015,0.8571428571428571
SC Godhni,May-2015,0.5
SC Godhni,Jun-2015,0.0
SC Godhni,Jul-2015,0.5
SC Godhni,Aug-2015,0.0
SC Godhni,Sep-2015,0.5714285714285714
SC Godhni,Oct-2015,0.6666666666666666
SC Godhni,Nov-2015,0.625
SC Godhni,Dec-2015,0.3333333333333333
SC Godhni,Jan-2016,0.8
SC Godhni,Feb-2016,0.5714285714285714
SC Godhni,Mar-2016,0.5
SC Godhni,Total,0.5492957746478874
SC Gondkhairi,Apr-2015,0.6
SC Gondkhairi,May-2015,0.6363636363636364
SC Gondkhairi,Jun-2015,0.5833333333333334
SC Gondkhairi,Jul-2015,0.4
SC Gondkhairi,Aug-2015,0.16666666666666666
SC Gondkhairi,Sep-2015,0.8333333333333334
SC Gondkhairi,Oct-2015,1.0
SC Gondkhairi,Nov-2015,0.2
SC Gondkhairi,Dec-2015,0.3333333333333333
SC Gondkhairi,Jan-2016,0.4
SC Gondkhairi,Feb-2016,0.25
SC Gondkhairi,Mar-2016,0.36363636363636365
SC Gondkhairi,Total,0.5164835164835165
SC Gonha,Apr-2015,0.0
SC Gonha,May-2015,0.0
SC Gonha,Jun-2015,0.0
SC Gonha,Jul-2015,0.8
SC Gonha,Aug-2015,0.3
SC Gonha,Sep-2015,0.0
SC Gonha,Oct-2015,0.0
SC Gonha,Nov-2015,0.0
SC Gonha,Dec-2015,0.5
SC Gonha,Jan-2016,0.0
SC Gonha,Feb-2016,0.0
SC Gonha,Mar-2016,0.0
SC Gonha,Total,0.24324324324324326
SC Gothangaon Yenava,Apr-2015,0.4
SC Gothangaon Yenava,May-2015,0.25
SC Gothangaon Yenava,Jun-2015,0.3333333333333333
SC Gothangaon Yenava,Jul-2015,0.6666666666666666
SC Gothangaon Yenava,Aug-2015,0.5
SC Gothangaon Yenava,Sep-2015,0.2
SC Gothangaon Yenava,Oct-2015,0.5
SC Gothangaon Yenava,Nov-2015,0.0
SC Gothangaon Yenava,Dec-2015,0.5
SC Gothangaon Yenava,Jan-2016,0.25
