,,Fraction of pregnant women registered under JSY
SC AMBADA DESHMUKH,Sep-2015,0.8
SC AMBADA DESHMUKH,Oct-2015,0.2
SC AMBADA DESHMUKH,Nov-2015,0.5
SC AMBADA DESHMUKH,Dec-2015,0.8571428571428571
SC AMBADA DESHMUKH,Jan-2016,0.5
SC AMBADA DESHMUKH,Feb-2016,0.6
SC AMBADA DESHMUKH,Mar-2016,1.0
SC AMBADA DESHMUKH,Total,0.6037735849056604
SC Aajangaon,Apr-2015,0.2222222222222222
SC Aajangaon,May-2015,0.4
SC Aajangaon,Jun-2015,0.2857142857142857
SC Aajangaon,Jul-2015,0.09090909090909091
SC Aajangaon,Aug-2015,0.09090909090909091
SC Aajangaon,Sep-2015,0.8
SC Aajangaon,Oct-2015,0.2
SC Aajangaon,Nov-2015,0.3333333333333333
SC Aajangaon,Dec-2015,0.125
SC Aajangaon,Jan-2016,0.3
SC Aajangaon,Feb-2016,0.5
SC Aajangaon,Mar-2016,0.7142857142857143
SC Aajangaon,Total,0.28440366972477066
SC Aamgaon,Apr-2015,1.0
SC Aamgaon,May-2015,0.5
SC Aamgaon,Jun-2015,0.75
SC Aamgaon,Jul-2015,1.0
SC Aamgaon,Aug-2015,0.6666666666666666
SC Aamgaon,Sep-2015,1.0
SC Aamgaon,Oct-2015,0.8333333333333334
SC Aamgaon,Nov-2015,0.5
SC Aamgaon,Dec-2015,1.0
SC Aamgaon,Jan-2016,0.3333333333333333
SC Aamgaon,Feb-2016,0.4
SC Aamgaon,Mar-2016,1.0
SC Aamgaon,Total,0.7111111111111111
SC Aashta,Apr-2015,0.6666666666666666
SC Aashta,May-2015,0.0
SC Aashta,Jun-2015,0.3333333333333333
SC Aashta,Jul-2015,
SC Aashta,Aug-2015,1.0
SC Aashta,Sep-2015,1.0
SC Aashta,Oct-2015,0.0
SC Aashta,Nov-2015,0.0
SC Aashta,Dec-2015,1.0
SC Aashta,Jan-2016,
SC Aashta,Feb-2016,1.0
SC Aashta,Mar-2016,0.0
SC Aashta,Total,0.5
SC Adam,Apr-2015,0.3333333333333333
SC Adam,May-2015,0.375
SC Adam,Jun-2015,0.0
SC Adam,Jul-2015,0.0
SC Adam,Aug-2015,1.0
SC Adam,Sep-2015,0.3333333333333333
SC Adam,Oct-2015,0.3333333333333333
SC Adam,Nov-2015,1.0
SC Adam,Dec-2015,0.4
SC Adam,Jan-2016,0.25
SC Adam,Feb-2016,0.0
SC Adam,Mar-2016,0.7
SC Adam,Total,0.3958333333333333
SC Adasa,Apr-2015,0.0
SC Adasa,May-2015,0.0
SC Adasa,Jun-2015,0.25
SC Adasa,Jul-2015,0.0
SC Adasa,Aug-2015,0.6666666666666666
SC Adasa,Sep-2015,0.25
SC Adasa,Oct-2015,0.5
SC Adasa,Nov-2015,0.0
SC Adasa,Dec-2015,0.5
SC Adasa,Jan-2016,0.0
SC Adasa,Feb-2016,0.0
SC Adasa,Mar-2016,0.0
SC Adasa,Total,0.21428571428571427
SC Ajani,Apr-2015,0.6
SC Ajani,May-2015,0.5
SC Ajani,Jun-2015,0.3333333333333333
SC Ajani,Jul-2015,0.25
SC Ajani,Aug-2015,0.0
SC Ajani,Sep-2015,0.5
SC Ajani,Oct-2015,0.2
SC Ajani,Nov-2015,0.4
SC Ajani,Dec-2015,0.25
SC Ajani,Jan-2016,0.6666666666666666
SC Ajani,Feb-2016,0.5
SC Ajani,Mar-2016,0.4
SC Ajani,Total,0.38461538461538464
SC Ajani Gumthala,Apr-2015,0.2857142857142857
SC Ajani Gumthala,May-2015,0.0
SC Ajani Gumthala,Jun-2015,0.2
SC Ajani Gumthala,Jul-2015,0.25
SC Ajani Gumthala,Aug-2015,0.4
SC Ajani Gumthala,Sep-2015,0.375
SC Ajani Gumthala,Oct-2015,0.3333333333333333
SC Ajani Gumthala,Nov-2015,0.0
SC Ajani Gumthala,Dec-2015,0.0
SC Ajani Gumthala,Jan-2016,0.08333333333333333
SC Ajani Gumthala,Feb-2016,0.0
SC Ajani Gumthala,Mar-2016,0.2
SC Ajani Gumthala,Total,0.19444444444444445
SC Ambhora,Apr-2015,0.0
SC Ambhora,May-2015,0.0
SC Ambhora,Jun-2015,1.0
SC Ambhora,Jul-2015,0.2
SC Ambhora,Aug-2015,1.0
SC Ambhora,Sep-2015,1.0
SC Ambhora,Oct-2015,1.0
SC Ambhora,Nov-2015,0.5
SC Ambhora,Dec-2015,0.0
SC Ambhora,Jan-2016,0.2
SC Ambhora,Feb-2016,0.3333333333333333
SC Ambhora,Mar-2016,0.0
SC Ambhora,Total,0.30303030303030304
SC Amgaon Kanholibara,Apr-2015,0.3333333333333333
SC Amgaon Kanholibara,May-2015,0.2
SC Amgaon Kanholibara,Jun-2015,0.5
SC Amgaon Kanholibara,Jul-2015,0.8333333333333334
SC Amgaon Kanholibara,Aug-2015,0.8
SC Amgaon Kanholibara,Sep-2015,0.4
SC Amgaon Kanholibara,Oct-2015,0.1
SC Amgaon Kanholibara,Nov-2015,0.75
SC Amgaon Kanholibara,Dec-2015,0.5714285714285714
SC Amgaon Kanholibara,Jan-2016,0.5833333333333334
SC Amgaon Kanholibara,Feb-2016,0.2857142857142857
SC Amgaon Kanholibara,Mar-2016,0.75
SC Amgaon Kanholibara,Total,0.5119047619047619
SC Aptur,Apr-2015,0.0
SC Aptur,May-2015,0.8333333333333334
SC Aptur,Jun-2015,0.5
SC Aptur,Jul-2015,0.3333333333333333
SC Aptur,Aug-2015,0.0
SC Aptur,Sep-2015,0.0
SC Aptur,Oct-2015,0.0
SC Aptur,Nov-2015,1.0
SC Aptur,Dec-2015,
SC Aptur,Jan-2016,0.0
SC Aptur,Feb-2016,0.125
SC Aptur,Mar-2016,0.3333333333333333
SC Aptur,Total,0.3142857142857143
SC Aroli,Apr-2015,0.19047619047619047
SC Aroli,May-2015,0.7857142857142857
SC Aroli,Jun-2015,0.5
SC Aroli,Jul-2015,0.6153846153846154
SC Aroli,Aug-2015,0.8571428571428571
SC Aroli,Sep-2015,0.3
SC Aroli,Oct-2015,0.5
SC Aroli,Nov-2015,0.7272727272727273
SC Aroli,Dec-2015,0.15384615384615385
SC Aroli,Jan-2016,0.45454545454545453
SC Aroli,Feb-2016,0.1
SC Aroli,Mar-2016,0.5
SC Aroli,Total,0.4485294117647059
SC Asola Takalghat,Apr-2015,0.16666666666666666
SC Asola Takalghat,May-2015,0.0
