,,Fraction of pregnant women registered within 1st trimester
SC Butibori old,May-2015,0.7857142857142857
SC Butibori old,Jun-2015,0.7777777777777778
SC Butibori old,Jul-2015,0.9047619047619048
SC Butibori old,Aug-2015,0.7692307692307693
SC Butibori old,Sep-2015,0.9230769230769231
SC Butibori old,Oct-2015,0.5714285714285714
SC Butibori old,Nov-2015,0.9285714285714286
SC Butibori old,Dec-2015,0.9333333333333333
SC Butibori old,Jan-2016,1.0
SC Butibori old,Feb-2016,0.7142857142857143
SC Butibori old,Mar-2016,0.7894736842105263
SC Butibori old,Total,0.831081081081081
SC COLMINCE,Apr-2015,0.75
SC COLMINCE,May-2015,0.75
SC COLMINCE,Jun-2015,0.5714285714285714
SC COLMINCE,Jul-2015,0.8571428571428571
SC COLMINCE,Aug-2015,0.7692307692307693
SC COLMINCE,Sep-2015,0.8125
SC COLMINCE,Oct-2015,0.6
SC COLMINCE,Nov-2015,0.8888888888888888
SC COLMINCE,Dec-2015,0.5
SC COLMINCE,Jan-2016,0.7
SC COLMINCE,Feb-2016,0.8
SC COLMINCE,Mar-2016,0.7692307692307693
SC COLMINCE,Total,0.7310344827586207
SC Chacher,Apr-2015,0.9285714285714286
SC Chacher,May-2015,0.8333333333333334
SC Chacher,Jun-2015,0.8
SC Chacher,Jul-2015,0.8888888888888888
SC Chacher,Aug-2015,0.9230769230769231
SC Chacher,Sep-2015,0.7272727272727273
SC Chacher,Oct-2015,1.0
SC Chacher,Nov-2015,0.8571428571428571
SC Chacher,Dec-2015,0.7142857142857143
SC Chacher,Jan-2016,0.8571428571428571
SC Chacher,Feb-2016,0.9166666666666666
SC Chacher,Mar-2016,1.0
SC Chacher,Total,0.8686131386861314
SC Champa,Apr-2015,0.75
SC Champa,May-2015,1.0
SC Champa,Jun-2015,0.75
SC Champa,Jul-2015,0.5
SC Champa,Aug-2015,0.8333333333333334
SC Champa,Sep-2015,1.0
SC Champa,Oct-2015,1.0
SC Champa,Nov-2015,1.0
SC Champa,Dec-2015,0.8571428571428571
SC Champa,Jan-2016,1.0
SC Champa,Feb-2016,0.9230769230769231
SC Champa,Mar-2016,1.0
SC Champa,Total,0.891566265060241
SC Chapegadi,Apr-2015,1.0
SC Chapegadi,May-2015,1.0
SC Chapegadi,Jun-2015,1.0
SC Chapegadi,Jul-2015,1.0
SC Chapegadi,Aug-2015,1.0
SC Chapegadi,Sep-2015,1.0
SC Chapegadi,Oct-2015,1.0
SC Chapegadi,Nov-2015,1.0
SC Chapegadi,Dec-2015,0.5
SC Chapegadi,Jan-2016,0.6
SC Chapegadi,Feb-2016,0.25
SC Chapegadi,Mar-2016,0.7142857142857143
SC Chapegadi,Total,0.7868852459016393
SC Chichala,Apr-2015,1.0
SC Chichala,May-2015,1.0
SC Chichala,Jun-2015,0.7777777777777778
SC Chichala,Jul-2015,0.8
SC Chichala,Aug-2015,0.9090909090909091
SC Chichala,Sep-2015,0.7142857142857143
SC Chichala,Oct-2015,0.6923076923076923
SC Chichala,Nov-2015,1.0
SC Chichala,Dec-2015,0.9166666666666666
SC Chichala,Jan-2016,0.7857142857142857
SC Chichala,Feb-2016,0.9411764705882353
SC Chichala,Mar-2016,0.9230769230769231
SC Chichala,Total,0.8714285714285714
SC Chicholi,Apr-2015,
SC Chicholi,May-2015,
SC Chicholi,Jun-2015,
SC Chicholi,Jul-2015,
SC Chicholi,Aug-2015,
SC Chicholi,Sep-2015,
SC Chicholi,Oct-2015,
SC Chicholi,Nov-2015,
SC Chicholi,Dec-2015,
SC Chicholi,Jan-2016,
SC Chicholi,Feb-2016,
SC Chicholi,Mar-2016,
SC Chicholi,Total,
SC DAWSA,Apr-2015,1.0
SC DAWSA,May-2015,1.0
SC DAWSA,Jun-2015,1.0
SC DAWSA,Jul-2015,1.0
SC DAWSA,Aug-2015,1.0
SC DAWSA,Sep-2015,1.0
SC DAWSA,Oct-2015,1.0
SC DAWSA,Nov-2015,1.0
SC DAWSA,Dec-2015,1.0
SC DAWSA,Jan-2016,0.6666666666666666
SC DAWSA,Feb-2016,1.0
SC DAWSA,Mar-2016,1.0
SC DAWSA,Total,0.9615384615384616
SC DHAMANGAON Jawali,Apr-2015,0.0
SC DHAMANGAON Jawali,May-2015,1.0
SC DHAMANGAON Jawali,Jun-2015,0.5
SC DHAMANGAON Jawali,Jul-2015,0.5
SC DHAMANGAON Jawali,Aug-2015,0.5
SC DHAMANGAON Jawali,Sep-2015,0.3333333333333333
SC DHAMANGAON Jawali,Oct-2015,0.625
SC DHAMANGAON Jawali,Nov-2015,1.0
SC DHAMANGAON Jawali,Dec-2015,1.0
SC DHAMANGAON Jawali,Jan-2016,0.14285714285714285
SC DHAMANGAON Jawali,Feb-2016,0.6666666666666666
SC DHAMANGAON Jawali,Mar-2016,1.0
SC DHAMANGAON Jawali,Total,0.4782608695652174
SC DHAPRLA,Apr-2015,1.0
SC DHAPRLA,May-2015,1.0
SC DHAPRLA,Jun-2015,1.0
SC DHAPRLA,Jul-2015,1.0
SC DHAPRLA,Aug-2015,1.0
SC DHAPRLA,Sep-2015,1.0
SC DHAPRLA,Oct-2015,1.0
SC DHAPRLA,Nov-2015,1.0
SC DHAPRLA,Dec-2015,1.0
SC DHAPRLA,Jan-2016,0.6
SC DHAPRLA,Feb-2016,0.75
SC DHAPRLA,Mar-2016,1.0
SC DHAPRLA,Total,0.9423076923076923
SC DHARMPAUR,Apr-2015,1.0
SC DHARMPAUR,May-2015,0.8571428571428571
SC DHARMPAUR,Jun-2015,1.0
SC DHARMPAUR,Jul-2015,0.75
SC DHARMPAUR,Aug-2015,1.0
SC DHARMPAUR,Sep-2015,0.6666666666666666
SC DHARMPAUR,Oct-2015,1.0
SC DHARMPAUR,Nov-2015,1.0
SC DHARMPAUR,Dec-2015,0.5454545454545454
SC DHARMPAUR,Jan-2016,0.5
SC DHARMPAUR,Feb-2016,0.6666666666666666
SC DHARMPAUR,Mar-2016,0.75
SC DHARMPAUR,Total,0.7878787878787878
SC Dahegaon JOSHI,Apr-2015,1.0
SC Dahegaon JOSHI,May-2015,
SC Dahegaon JOSHI,Jun-2015,1.0
SC Dahegaon JOSHI,Jul-2015,1.0
SC Dahegaon JOSHI,Aug-2015,1.0
SC Dahegaon JOSHI,Sep-2015,1.0
SC Dahegaon JOSHI,Oct-2015,1.0
SC Dahegaon JOSHI,Nov-2015,
SC Dahegaon JOSHI,Dec-2015,1.0
SC Dahegaon JOSHI,Jan-2016,
SC Dahegaon JOSHI,Feb-2016,1.0
SC Dahegaon JOSHI,Mar-2016,1.0
SC Dahegaon JOSHI,Total,1.0
SC Dahegaon Khat,Apr-2015,1.0
SC Dahegaon Khat,May-2015,1.0
SC Dahegaon Khat,Jun-2015,0.7142857142857143
SC Dahegaon Khat,Jul-2015,1.0
SC Dahegaon Khat,Aug-2015,1.0
SC Dahegaon Khat,Sep-2015,1.0
SC Dahegaon Khat,Oct-2015,1.0
SC Dahegaon Khat,Nov-2015,1.0
SC Dahegaon Khat,Dec-2015,0.7142857142857143
SC Dahegaon Khat,Jan-2016,1.0
SC Dahegaon Khat,Feb-2016,0.4
SC Dahegaon Khat,Mar-2016,0.75
SC Dahegaon Khat,Total,0.8787878787878788
SC Dahoda,Apr-2015,1.0
SC Dahoda,May-2015,1.0
SC Dahoda,Jun-2015,1.0
SC Dahoda,Jul-2015,1.0
SC Dahoda,Aug-2015,1.0
SC Dahoda,Sep-2015,1.0
SC Dahoda,Oct-2015,1.0
SC Dahoda,Nov-2015,
SC Dahoda,Dec-2015,0.8333333333333334
SC Dahoda,Jan-2016,1.0
SC Dahoda,Feb-2016,1.0
SC Dahoda,Mar-2016,1.25
SC Dahoda,Total,1.0
SC Davvha,Apr-2015,1.0
SC Davvha,May-2015,0.0
SC Davvha,Jun-2015,1.0
SC Davvha,Jul-2015,1.0
SC Davvha,Aug-2015,1.0
SC Davvha,Sep-2015,1.0
SC Davvha,Oct-2015,1.0
SC Davvha,Nov-2015,1.0
SC Davvha,Dec-2015,1.0
SC Davvha,Jan-2016,1.0
SC Davvha,Feb-2016,1.0
SC Davvha,Mar-2016,1.0
SC Davvha,Total,0.9607843137254902
SC Degma khurd,Apr-2015,0.5
SC Degma khurd,May-2015,0.25
SC Degma khurd,Jun-2015,0.0
SC Degma khurd,Jul-2015,0.5
SC Degma khurd,Aug-2015,0.16666666666666666
SC Degma khurd,Sep-2015,0.4444444444444444
SC Degma khurd,Oct-2015,0.6666666666666666
SC Degma khurd,Nov-2015,
SC Degma khurd,Dec-2015,1.0
SC Degma khurd,Jan-2016,1.0
SC Degma khurd,Feb-2016,1.0
SC Degma khurd,Mar-2016,1.0
SC Degma khurd,Total,0.5686274509803921
SC Devalapar,Apr-2015,0.9
SC Devalapar,May-2015,0.5714285714285714
SC Devalapar,Jun-2015,0.25
SC Devalapar,Jul-2015,0.8
SC Devalapar,Aug-2015,0.125
SC Devalapar,Sep-2015,0.7272727272727273
SC Devalapar,Oct-2015,0.7272727272727273
SC Devalapar,Nov-2015,0.375
SC Devalapar,Dec-2015,0.6666666666666666
SC Devalapar,Jan-2016,0.7142857142857143
SC Devalapar,Feb-2016,0.3333333333333333
SC Devalapar,Mar-2016,0.75
SC Devalapar,Total,0.5876288659793815
SC Devali Pendhari,Apr-2015,1.0
SC Devali Pendhari,May-2015,0.75
SC Devali Pendhari,Jun-2015,1.0
SC Devali Pendhari,Jul-2015,1.0
SC Devali Pendhari,Aug-2015,0.875
SC Devali Pendhari,Sep-2015,0.75
SC Devali Pendhari,Oct-2015,1.0
SC Devali Pendhari,Nov-2015,0.75
SC Devali Pendhari,Dec-2015,0.5
SC Devali Pendhari,Jan-2016,1.0
SC Devali Pendhari,Feb-2016,1.0
SC Devali Pendhari,Mar-2016,1.0
SC Devali Pendhari,Total,0.8846153846153846
SC Dhamna,Apr-2015,0.7352941176470589
SC Dhamna,May-2015,0.75
SC Dhamna,Jun-2015,0.68
SC Dhamna,Jul-2015,0.7804878048780488
SC Dhamna,Aug-2015,0.5666666666666667
SC Dhamna,Sep-2015,0.5625
SC Dhamna,Oct-2015,0.8214285714285714
SC Dhamna,Nov-2015,0.7
SC Dhamna,Dec-2015,1.0
SC Dhamna,Jan-2016,0.6818181818181818
SC Dhamna,Feb-2016,0.8421052631578947
SC Dhamna,Mar-2016,0.8095238095238095
SC Dhamna,Total,0.7525773195876289
SC Dhanla,Apr-2015,1.0
SC Dhanla,May-2015,0.8888888888888888
SC Dhanla,Jun-2015,1.0
SC Dhanla,Jul-2015,1.0
SC Dhanla,Aug-2015,0.7857142857142857
SC Dhanla,Sep-2015,1.0
SC Dhanla,Oct-2015,1.0
SC Dhanla,Nov-2015,1.0
SC Dhanla,Dec-2015,1.0
SC Dhanla,Jan-2016,0.9166666666666666
SC Dhanla,Feb-2016,1.0
SC Dhanla,Mar-2016,0.8823529411764706
SC Dhanla,Total,0.9351851851851852
SC Dhanla Yenava,Apr-2015,1.0
SC Dhanla Yenava,May-2015,0.6666666666666666
SC Dhanla Yenava,Jun-2015,1.0
SC Dhanla Yenava,Jul-2015,1.0
SC Dhanla Yenava,Aug-2015,1.0
SC Dhanla Yenava,Sep-2015,1.0
SC Dhanla Yenava,Oct-2015,
SC Dhanla Yenava,Nov-2015,1.0
SC Dhanla Yenava,Dec-2015,1.0
SC Dhanla Yenava,Jan-2016,1.0
SC Dhanla Yenava,Feb-2016,
SC Dhanla Yenava,Mar-2016,
SC Dhanla Yenava,Total,0.9629629629629629
SC Dhanoli Kondamendhi,Apr-2015,0.8333333333333334
SC Dhanoli Kondamendhi,May-2015,0.75
SC Dhanoli Kondamendhi,Jun-2015,0.75
SC Dhanoli Kondamendhi,Jul-2015,0.75
SC Dhanoli Kondamendhi,Aug-2015,0.5
SC Dhanoli Kondamendhi,Sep-2015,0.7142857142857143
SC Dhanoli Kondamendhi,Oct-2015,0.8333333333333334
SC Dhanoli Kondamendhi,Nov-2015,0.8571428571428571
SC Dhanoli Kondamendhi,Dec-2015,0.6666666666666666
SC Dhanoli Kondamendhi,Jan-2016,0.7142857142857143
SC Dhanoli Kondamendhi,Feb-2016,1.0
SC Dhanoli Kondamendhi,Mar-2016,1.0
SC Dhanoli Kondamendhi,Total,0.7816091954022989
SC Dhapewada Khurd,Apr-2015,1.0
SC Dhapewada Khurd,May-2015,1.0
SC Dhapewada Khurd,Jun-2015,1.0
SC Dhapewada Khurd,Jul-2015,1.0
SC Dhapewada Khurd,Aug-2015,1.0
SC Dhapewada Khurd,Sep-2015,1.0
SC Dhapewada Khurd,Oct-2015,1.0
SC Dhapewada Khurd,Nov-2015,0.5
SC Dhapewada Khurd,Dec-2015,0.75
SC Dhapewada Khurd,Jan-2016,1.0
SC Dhapewada Khurd,Feb-2016,1.0
SC Dhapewada Khurd,Mar-2016,1.0
SC Dhapewada Khurd,Total,0.9354838709677419
SC Dharmapuri Khat,Apr-2015,0.6666666666666666
SC Dharmapuri Khat,May-2015,0.5833333333333334
SC Dharmapuri Khat,Jun-2015,0.75
SC Dharmapuri Khat,Jul-2015,1.0
SC Dharmapuri Khat,Aug-2015,0.7142857142857143
SC Dharmapuri Khat,Sep-2015,0.8181818181818182
SC Dharmapuri Khat,Oct-2015,1.0
SC Dharmapuri Khat,Nov-2015,1.0
SC Dharmapuri Khat,Dec-2015,0.8
SC Dharmapuri Khat,Jan-2016,1.0
SC Dharmapuri Khat,Feb-2016,0.9166666666666666
SC Dharmapuri Khat,Mar-2016,1.0
SC Dharmapuri Khat,Total,0.8514851485148515
SC Dhawlapur,Apr-2015,0.8571428571428571
SC Dhawlapur,May-2015,1.0
SC Dhawlapur,Jun-2015,0.8
SC Dhawlapur,Jul-2015,0.6666666666666666
SC Dhawlapur,Aug-2015,0.0
SC Dhawlapur,Sep-2015,0.8571428571428571
SC Dhawlapur,Oct-2015,0.6666666666666666
SC Dhawlapur,Nov-2015,0.6666666666666666
SC Dhawlapur,Dec-2015,0.8333333333333334
SC Dhawlapur,Jan-2016,0.6666666666666666
SC Dhawlapur,Feb-2016,1.0
SC Dhawlapur,Mar-2016,1.0
SC Dhawlapur,Total,0.7611940298507462
SC Digdoh,Apr-2015,0.463768115942029
SC Digdoh,May-2015,0.5
SC Digdoh,Jun-2015,0.5471698113207547
SC Digdoh,Jul-2015,0.5205479452054794
SC Digdoh,Aug-2015,0.43478260869565216
SC Digdoh,Sep-2015,0.4117647058823529
SC Digdoh,Oct-2015,0.3380281690140845
SC Digdoh,Nov-2015,0.34285714285714286
SC Digdoh,Dec-2015,0.4492753623188406
SC Digdoh,Jan-2016,0.4375
SC Digdoh,Feb-2016,0.45454545454545453
SC Digdoh,Mar-2016,0.4461538461538462
SC Digdoh,Total,0.4487369985141159
SC Dighori,Apr-2015,1.0
SC Dighori,May-2015,0.7777777777777778
SC Dighori,Jun-2015,0.75
SC Dighori,Jul-2015,0.25
SC Dighori,Aug-2015,0.6666666666666666
SC Dighori,Sep-2015,0.75
SC Dighori,Oct-2015,1.0
SC Dighori,Nov-2015,1.0
SC Dighori,Dec-2015,1.0
SC Dighori,Jan-2016,1.0
SC Dighori,Feb-2016,1.0
SC Dighori,Mar-2016,1.0
SC Dighori,Total,0.8260869565217391
SC Digrus  bu.,Apr-2015,0.75
SC Digrus  bu.,May-2015,1.0
SC Digrus  bu.,Jun-2015,0.5
SC Digrus  bu.,Jul-2015,0.5
SC Digrus  bu.,Aug-2015,0.5
SC Digrus  bu.,Sep-2015,1.0
SC Digrus  bu.,Oct-2015,0.8333333333333334
SC Digrus  bu.,Nov-2015,0.6666666666666666
SC Digrus  bu.,Dec-2015,1.0
SC Digrus  bu.,Jan-2016,1.0
SC Digrus  bu.,Feb-2016,1.0
SC Digrus  bu.,Mar-2016,1.0
SC Digrus  bu.,Total,0.7906976744186046
SC Dongargaon Borkhedi,Apr-2015,0.7333333333333333
SC Dongargaon Borkhedi,May-2015,1.0
SC Dongargaon Borkhedi,Jun-2015,0.7647058823529411
SC Dongargaon Borkhedi,Jul-2015,0.625
SC Dongargaon Borkhedi,Aug-2015,0.7692307692307693
SC Dongargaon Borkhedi,Sep-2015,0.8666666666666667
SC Dongargaon Borkhedi,Oct-2015,0.6842105263157895
SC Dongargaon Borkhedi,Nov-2015,0.7857142857142857
SC Dongargaon Borkhedi,Dec-2015,0.75
SC Dongargaon Borkhedi,Jan-2016,0.75
SC Dongargaon Borkhedi,Feb-2016,0.6923076923076923
SC Dongargaon Borkhedi,Mar-2016,0.8666666666666667
SC Dongargaon Borkhedi,Total,0.7630057803468208
SC Dongargaon Yenava,Apr-2015,1.0
SC Dongargaon Yenava,May-2015,0.8
SC Dongargaon Yenava,Jun-2015,1.0
SC Dongargaon Yenava,Jul-2015,0.6666666666666666
SC Dongargaon Yenava,Aug-2015,1.0
SC Dongargaon Yenava,Sep-2015,0.8333333333333334
SC Dongargaon Yenava,Oct-2015,1.0
SC Dongargaon Yenava,Nov-2015,0.8571428571428571
SC Dongargaon Yenava,Dec-2015,0.75
SC Dongargaon Yenava,Jan-2016,1.0
SC Dongargaon Yenava,Feb-2016,1.0
SC Dongargaon Yenava,Mar-2016,1.0
SC Dongargaon Yenava,Total,0.9193548387096774
SC Dongari Nagardhan,Apr-2015,0.3333333333333333
SC Dongari Nagardhan,May-2015,1.0
SC Dongari Nagardhan,Jun-2015,0.8333333333333334
SC Dongari Nagardhan,Jul-2015,1.0
SC Dongari Nagardhan,Aug-2015,1.0
SC Dongari Nagardhan,Sep-2015,1.0
SC Dongari Nagardhan,Oct-2015,1.0
SC Dongari Nagardhan,Nov-2015,0.75
SC Dongari Nagardhan,Dec-2015,1.0
SC Dongari Nagardhan,Jan-2016,0.5
SC Dongari Nagardhan,Feb-2016,1.0
SC Dongari Nagardhan,Mar-2016,1.0
SC Dongari Nagardhan,Total,0.8571428571428571
SC Dongarmauda,Apr-2015,1.0
SC Dongarmauda,May-2015,1.0
SC Dongarmauda,Jun-2015,1.0
SC Dongarmauda,Jul-2015,1.0
SC Dongarmauda,Aug-2015,0.8571428571428571
SC Dongarmauda,Sep-2015,0.875
SC Dongarmauda,Oct-2015,1.0
SC Dongarmauda,Nov-2015,1.0
SC Dongarmauda,Dec-2015,0.8
SC Dongarmauda,Jan-2016,1.0
SC Dongarmauda,Feb-2016,1.0
SC Dongarmauda,Mar-2016,1.0
SC Dongarmauda,Total,0.926829268292683
SC Dorli  Bha.,Apr-2015,0.75
SC Dorli  Bha.,May-2015,1.0
SC Dorli  Bha.,Jun-2015,1.0
SC Dorli  Bha.,Jul-2015,0.0
SC Dorli  Bha.,Aug-2015,1.0
SC Dorli  Bha.,Sep-2015,1.0
SC Dorli  Bha.,Oct-2015,1.0
SC Dorli  Bha.,Nov-2015,1.0
SC Dorli  Bha.,Dec-2015,1.0
SC Dorli  Bha.,Jan-2016,1.0
SC Dorli  Bha.,Feb-2016,0.0
SC Dorli  Bha.,Mar-2016,1.0
SC Dorli  Bha.,Total,0.7692307692307693
SC Dorli  Bhi.,Apr-2015,0.75
SC Dorli  Bhi.,May-2015,1.0
SC Dorli  Bhi.,Jun-2015,0.6666666666666666
SC Dorli  Bhi.,Jul-2015,1.0
SC Dorli  Bhi.,Aug-2015,0.4
SC Dorli  Bhi.,Sep-2015,0.2
SC Dorli  Bhi.,Oct-2015,0.6666666666666666
SC Dorli  Bhi.,Nov-2015,1.0
SC Dorli  Bhi.,Dec-2015,0.42857142857142855
SC Dorli  Bhi.,Jan-2016,0.5714285714285714
SC Dorli  Bhi.,Feb-2016,1.0
SC Dorli  Bhi.,Mar-2016,1.0
SC Dorli  Bhi.,Total,0.6885245901639344
SC Dudhala,Apr-2015,0.8333333333333334
SC Dudhala,May-2015,1.0
SC Dudhala,Jun-2015,0.8888888888888888
SC Dudhala,Jul-2015,0.9090909090909091
SC Dudhala,Aug-2015,1.0
SC Dudhala,Sep-2015,1.0
SC Dudhala,Oct-2015,0.7777777777777778
SC Dudhala,Nov-2015,1.0
SC Dudhala,Dec-2015,0.625
SC Dudhala,Jan-2016,1.0
SC Dudhala,Feb-2016,1.0
SC Dudhala,Mar-2016,1.0
SC Dudhala,Total,0.8987341772151899
SC Dudhala Kondhali,Apr-2015,0.7272727272727273
SC Dudhala Kondhali,May-2015,0.8
SC Dudhala Kondhali,Jun-2015,1.0
SC Dudhala Kondhali,Jul-2015,0.75
SC Dudhala Kondhali,Aug-2015,0.8
SC Dudhala Kondhali,Sep-2015,1.0
SC Dudhala Kondhali,Oct-2015,1.0
SC Dudhala Kondhali,Nov-2015,1.0
SC Dudhala Kondhali,Dec-2015,0.7142857142857143
SC Dudhala Kondhali,Jan-2016,0.9
SC Dudhala Kondhali,Feb-2016,1.0
SC Dudhala Kondhali,Mar-2016,0.9285714285714286
SC Dudhala Kondhali,Total,0.9074074074074074
SC Fegad,Apr-2015,1.0
SC Fegad,May-2015,0.75
SC Fegad,Jun-2015,1.0
SC Fegad,Jul-2015,0.6666666666666666
SC Fegad,Aug-2015,1.0
SC Fegad,Sep-2015,1.0
SC Fegad,Oct-2015,1.0
SC Fegad,Nov-2015,1.0
SC Fegad,Dec-2015,1.0
SC Fegad,Jan-2016,1.0
SC Fegad,Feb-2016,0.5
SC Fegad,Mar-2016,1.0
SC Fegad,Total,0.9322033898305084
SC Fetari,Apr-2015,0.8571428571428571
SC Fetari,May-2015,0.5714285714285714
SC Fetari,Jun-2015,0.7272727272727273
SC Fetari,Jul-2015,0.7142857142857143
SC Fetari,Aug-2015,0.6666666666666666
SC Fetari,Sep-2015,0.7142857142857143
SC Fetari,Oct-2015,0.875
SC Fetari,Nov-2015,1.0
SC Fetari,Dec-2015,0.8181818181818182
SC Fetari,Jan-2016,0.8571428571428571
SC Fetari,Feb-2016,0.75
SC Fetari,Mar-2016,0.6666666666666666
SC Fetari,Total,0.7659574468085106
SC Gagner,Apr-2015,1.0
SC Gagner,May-2015,1.0
SC Gagner,Jun-2015,0.8571428571428571
SC Gagner,Jul-2015,1.0
SC Gagner,Aug-2015,1.0
SC Gagner,Sep-2015,1.0
SC Gagner,Oct-2015,0.8571428571428571
SC Gagner,Nov-2015,1.0
SC Gagner,Dec-2015,0.8
SC Gagner,Jan-2016,1.0
SC Gagner,Feb-2016,1.0
SC Gagner,Mar-2016,1.0
SC Gagner,Total,0.9625
SC Garamsur Kondhali,Apr-2015,0.8
SC Garamsur Kondhali,May-2015,1.0
SC Garamsur Kondhali,Jun-2015,1.0
SC Garamsur Kondhali,Jul-2015,0.6666666666666666
SC Garamsur Kondhali,Aug-2015,0.8333333333333334
SC Garamsur Kondhali,Sep-2015,1.0
SC Garamsur Kondhali,Oct-2015,0.3333333333333333
SC Garamsur Kondhali,Nov-2015,1.0
SC Garamsur Kondhali,Dec-2015,1.0
SC Garamsur Kondhali,Jan-2016,1.0
SC Garamsur Kondhali,Feb-2016,1.0
SC Garamsur Kondhali,Mar-2016,1.0
SC Garamsur Kondhali,Total,0.825
SC Gharatwada,Apr-2015,0.8
SC Gharatwada,May-2015,0.6666666666666666
SC Gharatwada,Jun-2015,0.75
SC Gharatwada,Jul-2015,0.8
SC Gharatwada,Aug-2015,1.0
SC Gharatwada,Sep-2015,1.0
SC Gharatwada,Oct-2015,1.0
SC Gharatwada,Nov-2015,0.5
SC Gharatwada,Dec-2015,1.0
SC Gharatwada,Jan-2016,1.0
SC Gharatwada,Feb-2016,1.0
SC Gharatwada,Mar-2016,1.0
SC Gharatwada,Total,0.8888888888888888
SC Ghoti Hiwara,Apr-2015,1.0
SC Ghoti Hiwara,May-2015,1.0
SC Ghoti Hiwara,Jun-2015,1.0
SC Ghoti Hiwara,Jul-2015,1.0
SC Ghoti Hiwara,Aug-2015,1.0
SC Ghoti Hiwara,Sep-2015,1.0
SC Ghoti Hiwara,Oct-2015,1.0
SC Ghoti Hiwara,Nov-2015,1.0
SC Ghoti Hiwara,Dec-2015,1.0
SC Ghoti Hiwara,Jan-2016,1.0
SC Ghoti Hiwara,Feb-2016,1.0
SC Ghoti Hiwara,Mar-2016,1.0
SC Ghoti Hiwara,Total,1.0
SC Godhani Railway,Apr-2015,0.8333333333333334
SC Godhani Railway,May-2015,0.9166666666666666
SC Godhani Railway,Jun-2015,0.6818181818181818
SC Godhani Railway,Jul-2015,0.55
SC Godhani Railway,Aug-2015,0.5882352941176471
SC Godhani Railway,Sep-2015,0.7777777777777778
SC Godhani Railway,Oct-2015,0.5384615384615384
SC Godhani Railway,Nov-2015,0.6363636363636364
SC Godhani Railway,Dec-2015,0.8333333333333334
SC Godhani Railway,Jan-2016,0.9090909090909091
SC Godhani Railway,Feb-2016,0.9
SC Godhani Railway,Mar-2016,0.6666666666666666
SC Godhani Railway,Total,0.7225433526011561
SC Godhni,Apr-2015,1.0
SC Godhni,May-2015,1.0
SC Godhni,Jun-2015,1.0
SC Godhni,Jul-2015,1.0
SC Godhni,Aug-2015,1.0
SC Godhni,Sep-2015,1.0
SC Godhni,Oct-2015,1.0
SC Godhni,Nov-2015,0.875
SC Godhni,Dec-2015,1.0
SC Godhni,Jan-2016,1.0
SC Godhni,Feb-2016,0.7142857142857143
SC Godhni,Mar-2016,1.0
SC Godhni,Total,0.9577464788732394
SC Gondkhairi,Apr-2015,0.0
SC Gondkhairi,May-2015,0.5454545454545454
SC Gondkhairi,Jun-2015,0.6666666666666666
SC Gondkhairi,Jul-2015,0.8
SC Gondkhairi,Aug-2015,0.8333333333333334
SC Gondkhairi,Sep-2015,0.5833333333333334
SC Gondkhairi,Oct-2015,1.0
SC Gondkhairi,Nov-2015,1.0
SC Gondkhairi,Dec-2015,0.8333333333333334
SC Gondkhairi,Jan-2016,0.8
SC Gondkhairi,Feb-2016,0.75
SC Gondkhairi,Mar-2016,0.7272727272727273
SC Gondkhairi,Total,0.6483516483516484
SC Gonha,Apr-2015,1.0
SC Gonha,May-2015,1.0
SC Gonha,Jun-2015,1.0
SC Gonha,Jul-2015,1.0
SC Gonha,Aug-2015,1.0
SC Gonha,Sep-2015,1.0
SC Gonha,Oct-2015,1.0
SC Gonha,Nov-2015,1.0
SC Gonha,Dec-2015,1.0
SC Gonha,Jan-2016,1.0
SC Gonha,Feb-2016,1.0
SC Gonha,Mar-2016,1.0
SC Gonha,Total,1.0
SC Gothangaon Yenava,Apr-2015,1.0
SC Gothangaon Yenava,May-2015,1.0
SC Gothangaon Yenava,Jun-2015,0.6666666666666666
SC Gothangaon Yenava,Jul-2015,1.0
SC Gothangaon Yenava,Aug-2015,1.0
SC Gothangaon Yenava,Sep-2015,1.0
SC Gothangaon Yenava,Oct-2015,1.0
SC Gothangaon Yenava,Nov-2015,1.0
SC Gothangaon Yenava,Dec-2015,1.0
SC Gothangaon Yenava,Jan-2016,1.0
SC Gothangaon Yenava,Feb-2016,1.0
SC Gothangaon Yenava,Mar-2016,1.0
SC Gothangaon Yenava,Total,0.9803921568627451
SC Gowari,Apr-2015,0.9333333333333333
SC Gowari,May-2015,0.9230769230769231
SC Gowari,Jun-2015,1.0
SC Gowari,Jul-2015,1.0
SC Gowari,Aug-2015,0.8571428571428571
SC Gowari,Sep-2015,1.0
SC Gowari,Oct-2015,1.0
SC Gowari,Nov-2015,1.0
SC Gowari,Dec-2015,0.8666666666666667
SC Gowari,Jan-2016,1.0
SC Gowari,Feb-2016,1.0
SC Gowari,Mar-2016,0.9375
SC Gowari,Total,0.9491525423728814
SC Guguldoh,Apr-2015,1.0
SC Guguldoh,May-2015,1.0
SC Guguldoh,Jun-2015,1.0
SC Guguldoh,Jul-2015,1.0
SC Guguldoh,Aug-2015,1.0
SC Guguldoh,Sep-2015,
SC Guguldoh,Oct-2015,1.0
SC Guguldoh,Nov-2015,1.0
SC Guguldoh,Dec-2015,1.0
SC Guguldoh,Jan-2016,1.0
SC Guguldoh,Feb-2016,1.0
