,,Fraction of pregnant women registered within 1st trimester
SC AMBADA DESHMUKH,Oct-2015,0.6
SC AMBADA DESHMUKH,Nov-2015,1.0
SC AMBADA DESHMUKH,Dec-2015,0.8571428571428571
SC AMBADA DESHMUKH,Jan-2016,0.6666666666666666
SC AMBADA DESHMUKH,Feb-2016,0.8
SC AMBADA DESHMUKH,Mar-2016,1.0
SC AMBADA DESHMUKH,Total,0.7735849056603774
SC Aajangaon,Apr-2015,1.0
SC Aajangaon,May-2015,1.0
SC Aajangaon,Jun-2015,0.8571428571428571
SC Aajangaon,Jul-2015,1.0
SC Aajangaon,Aug-2015,0.9090909090909091
SC Aajangaon,Sep-2015,0.6
SC Aajangaon,Oct-2015,0.8
SC Aajangaon,Nov-2015,0.8888888888888888
SC Aajangaon,Dec-2015,0.875
SC Aajangaon,Jan-2016,1.0
SC Aajangaon,Feb-2016,1.0
SC Aajangaon,Mar-2016,1.0
SC Aajangaon,Total,0.9174311926605505
SC Aamgaon,Apr-2015,1.0
SC Aamgaon,May-2015,1.0
SC Aamgaon,Jun-2015,1.0
SC Aamgaon,Jul-2015,1.0
SC Aamgaon,Aug-2015,1.0
SC Aamgaon,Sep-2015,1.0
SC Aamgaon,Oct-2015,1.0
SC Aamgaon,Nov-2015,1.0
SC Aamgaon,Dec-2015,1.0
SC Aamgaon,Jan-2016,1.0
SC Aamgaon,Feb-2016,1.0
SC Aamgaon,Mar-2016,1.0
SC Aamgaon,Total,1.0
SC Aashta,Apr-2015,1.0
SC Aashta,May-2015,1.0
SC Aashta,Jun-2015,1.0
SC Aashta,Jul-2015,
SC Aashta,Aug-2015,1.0
SC Aashta,Sep-2015,1.0
SC Aashta,Oct-2015,0.875
SC Aashta,Nov-2015,1.0
SC Aashta,Dec-2015,1.0
SC Aashta,Jan-2016,
SC Aashta,Feb-2016,1.0
SC Aashta,Mar-2016,1.0
SC Aashta,Total,0.9666666666666667
SC Adam,Apr-2015,1.0
SC Adam,May-2015,1.0
SC Adam,Jun-2015,1.0
SC Adam,Jul-2015,1.0
SC Adam,Aug-2015,1.0
SC Adam,Sep-2015,1.0
SC Adam,Oct-2015,1.0
SC Adam,Nov-2015,1.0
SC Adam,Dec-2015,1.0
SC Adam,Jan-2016,0.75
SC Adam,Feb-2016,1.0
SC Adam,Mar-2016,1.0
SC Adam,Total,0.9791666666666666
SC Adasa,Apr-2015,1.0
SC Adasa,May-2015,1.0
SC Adasa,Jun-2015,1.0
SC Adasa,Jul-2015,1.0
SC Adasa,Aug-2015,1.0
SC Adasa,Sep-2015,0.75
SC Adasa,Oct-2015,1.0
SC Adasa,Nov-2015,1.0
SC Adasa,Dec-2015,1.0
SC Adasa,Jan-2016,1.0
SC Adasa,Feb-2016,1.0
SC Adasa,Mar-2016,1.0
SC Adasa,Total,0.9761904761904762
SC Ajani,Apr-2015,0.6
SC Ajani,May-2015,0.25
SC Ajani,Jun-2015,0.6666666666666666
SC Ajani,Jul-2015,0.5
SC Ajani,Aug-2015,0.6666666666666666
SC Ajani,Sep-2015,0.6666666666666666
SC Ajani,Oct-2015,1.0
SC Ajani,Nov-2015,0.8
SC Ajani,Dec-2015,0.5
SC Ajani,Jan-2016,0.6666666666666666
SC Ajani,Feb-2016,1.0
SC Ajani,Mar-2016,0.8
SC Ajani,Total,0.6730769230769231
