,,Fraction of newborns having weight less than 2.5 kg
SC Aamgaon,Oct-2015,0.0
SC Aamgaon,Nov-2015,0.0
SC Aamgaon,Dec-2015,0.0
SC Aamgaon,Jan-2016,0.0
SC Aamgaon,Feb-2016,0.0
SC Aamgaon,Mar-2016,
SC Aamgaon,Total,0.1111111111111111
SC Aashta,Apr-2015,
SC Aashta,May-2015,
SC Aashta,Jun-2015,0.0
SC Aashta,Jul-2015,
SC Aashta,Aug-2015,
SC Aashta,Sep-2015,
SC Aashta,Oct-2015,
SC Aashta,Nov-2015,0.0
SC Aashta,Dec-2015,0.0
SC Aashta,Jan-2016,0.0
SC Aashta,Feb-2016,
SC Aashta,Mar-2016,
SC Aashta,Total,0.0
SC Adam,Apr-2015,
SC Adam,May-2015,
SC Adam,Jun-2015,0.0
SC Adam,Jul-2015,0.0
SC Adam,Aug-2015,
SC Adam,Sep-2015,0.0
SC Adam,Oct-2015,
SC Adam,Nov-2015,
SC Adam,Dec-2015,
SC Adam,Jan-2016,
SC Adam,Feb-2016,
SC Adam,Mar-2016,
SC Adam,Total,0.0
SC Adasa,Apr-2015,
SC Adasa,May-2015,0.0
SC Adasa,Jun-2015,
SC Adasa,Jul-2015,
SC Adasa,Aug-2015,
SC Adasa,Sep-2015,
SC Adasa,Oct-2015,
SC Adasa,Nov-2015,
SC Adasa,Dec-2015,
SC Adasa,Jan-2016,
SC Adasa,Feb-2016,
SC Adasa,Mar-2016,
SC Adasa,Total,0.0
SC Ajani,Apr-2015,
SC Ajani,May-2015,
SC Ajani,Jun-2015,
SC Ajani,Jul-2015,0.0
SC Ajani,Aug-2015,0.0
SC Ajani,Sep-2015,0.0
SC Ajani,Oct-2015,0.0
SC Ajani,Nov-2015,
SC Ajani,Dec-2015,0.0
SC Ajani,Jan-2016,
SC Ajani,Feb-2016,0.0
SC Ajani,Mar-2016,1.0
SC Ajani,Total,0.14285714285714285
SC Ajani Gumthala,Apr-2015,
SC Ajani Gumthala,May-2015,0.0
SC Ajani Gumthala,Jun-2015,
SC Ajani Gumthala,Jul-2015,
