,,Fraction of people suffering from malaria caused by Plasmodium Falciparum
SC Sawarmendha,Nov-2015,
SC Sawarmendha,Dec-2015,
SC Sawarmendha,Jan-2016,
SC Sawarmendha,Feb-2016,
SC Sawarmendha,Mar-2016,
SC Sawarmendha,Total,
SC Shedeshwar,Apr-2015,
SC Shedeshwar,May-2015,
SC Shedeshwar,Jun-2015,
SC Shedeshwar,Jul-2015,
SC Shedeshwar,Aug-2015,
SC Shedeshwar,Sep-2015,
SC Shedeshwar,Oct-2015,
SC Shedeshwar,Nov-2015,
SC Shedeshwar,Dec-2015,
SC Shedeshwar,Jan-2016,
SC Shedeshwar,Feb-2016,
SC Shedeshwar,Mar-2016,
SC Shedeshwar,Total,
SC Shirpur Gumthala,Apr-2015,
SC Shirpur Gumthala,May-2015,
SC Shirpur Gumthala,Jun-2015,
SC Shirpur Gumthala,Jul-2015,
SC Shirpur Gumthala,Aug-2015,
SC Shirpur Gumthala,Sep-2015,
SC Shirpur Gumthala,Oct-2015,
SC Shirpur Gumthala,Nov-2015,
SC Shirpur Gumthala,Dec-2015,
SC Shirpur Gumthala,Jan-2016,
SC Shirpur Gumthala,Feb-2016,
SC Shirpur Gumthala,Mar-2016,
SC Shirpur Gumthala,Total,
SC Shiwa,Apr-2015,
SC Shiwa,May-2015,
SC Shiwa,Jun-2015,
SC Shiwa,Jul-2015,
SC Shiwa,Aug-2015,
SC Shiwa,Sep-2015,
SC Shiwa,Oct-2015,
SC Shiwa,Nov-2015,
SC Shiwa,Dec-2015,
SC Shiwa,Jan-2016,
SC Shiwa,Feb-2016,
SC Shiwa,Mar-2016,
SC Shiwa,Total,
SC Sillewada CT,Apr-2015,
SC Sillewada CT,May-2015,
SC Sillewada CT,Jun-2015,
SC Sillewada CT,Jul-2015,
SC Sillewada CT,Aug-2015,
SC Sillewada CT,Sep-2015,
SC Sillewada CT,Oct-2015,
SC Sillewada CT,Nov-2015,
SC Sillewada CT,Dec-2015,
SC Sillewada CT,Jan-2016,
SC Sillewada CT,Feb-2016,
SC Sillewada CT,Mar-2016,
SC Sillewada CT,Total,
SC Silli,Apr-2015,
SC Silli,May-2015,
SC Silli,Jun-2015,
SC Silli,Jul-2015,
SC Silli,Aug-2015,
SC Silli,Sep-2015,
SC Silli,Oct-2015,
SC Silli,Nov-2015,
SC Silli,Dec-2015,
SC Silli,Jan-2016,
SC Silli,Feb-2016,
SC Silli,Mar-2016,
SC Silli,Total,
SC Sironji,Apr-2015,
SC Sironji,May-2015,
SC Sironji,Jun-2015,
SC Sironji,Jul-2015,
SC Sironji,Aug-2015,
SC Sironji,Sep-2015,
SC Sironji,Oct-2015,
SC Sironji,Nov-2015,
SC Sironji,Dec-2015,
SC Sironji,Jan-2016,
SC Sironji,Feb-2016,
SC Sironji,Mar-2016,
SC Sironji,Total,
SC Sirsi,Apr-2015,
SC Sirsi,May-2015,
SC Sirsi,Jun-2015,
SC Sirsi,Jul-2015,
SC Sirsi,Aug-2015,
SC Sirsi,Sep-2015,
SC Sirsi,Oct-2015,
SC Sirsi,Nov-2015,
SC Sirsi,Dec-2015,
SC Sirsi,Jan-2016,
SC Sirsi,Feb-2016,
SC Sirsi,Mar-2016,
SC Sirsi,Total,
SC Sirsi Yenava,Apr-2015,
SC Sirsi Yenava,May-2015,
SC Sirsi Yenava,Jun-2015,
SC Sirsi Yenava,Jul-2015,
SC Sirsi Yenava,Aug-2015,
SC Sirsi Yenava,Sep-2015,
SC Sirsi Yenava,Oct-2015,
SC Sirsi Yenava,Nov-2015,
SC Sirsi Yenava,Dec-2015,
SC Sirsi Yenava,Jan-2016,
SC Sirsi Yenava,Feb-2016,
SC Sirsi Yenava,Mar-2016,
SC Sirsi Yenava,Total,
SC Sirul,Apr-2015,
SC Sirul,May-2015,
SC Sirul,Jun-2015,
SC Sirul,Jul-2015,
SC Sirul,Aug-2015,
SC Sirul,Sep-2015,
SC Sirul,Oct-2015,
SC Sirul,Nov-2015,
SC Sirul,Dec-2015,
SC Sirul,Jan-2016,
SC Sirul,Feb-2016,
SC Sirul,Mar-2016,
SC Sirul,Total,
SC Sitapur,Apr-2015,
SC Sitapur,May-2015,
SC Sitapur,Jun-2015,
SC Sitapur,Jul-2015,
SC Sitapur,Aug-2015,
SC Sitapur,Sep-2015,
SC Sitapur,Oct-2015,
SC Sitapur,Nov-2015,
SC Sitapur,Dec-2015,
SC Sitapur,Jan-2016,
SC Sitapur,Feb-2016,
SC Sitapur,Mar-2016,
SC Sitapur,Total,
SC Sonegaon Gondkhairi,Apr-2015,
SC Sonegaon Gondkhairi,May-2015,
SC Sonegaon Gondkhairi,Jun-2015,
SC Sonegaon Gondkhairi,Jul-2015,
SC Sonegaon Gondkhairi,Aug-2015,
SC Sonegaon Gondkhairi,Sep-2015,
SC Sonegaon Gondkhairi,Oct-2015,
SC Sonegaon Gondkhairi,Nov-2015,
SC Sonegaon Gondkhairi,Dec-2015,
SC Sonegaon Gondkhairi,Jan-2016,
SC Sonegaon Gondkhairi,Feb-2016,
SC Sonegaon Gondkhairi,Mar-2016,
SC Sonegaon Gondkhairi,Total,
SC Sonegaon Gumthala,Apr-2015,
SC Sonegaon Gumthala,May-2015,
SC Sonegaon Gumthala,Jun-2015,
SC Sonegaon Gumthala,Jul-2015,
SC Sonegaon Gumthala,Aug-2015,
SC Sonegaon Gumthala,Sep-2015,
SC Sonegaon Gumthala,Oct-2015,
SC Sonegaon Gumthala,Nov-2015,
SC Sonegaon Gumthala,Dec-2015,
SC Sonegaon Gumthala,Jan-2016,
SC Sonegaon Gumthala,Feb-2016,
SC Sonegaon Gumthala,Mar-2016,
SC Sonegaon Gumthala,Total,
SC Sonegaon lodhi,Apr-2015,
SC Sonegaon lodhi,May-2015,
SC Sonegaon lodhi,Jun-2015,
SC Sonegaon lodhi,Jul-2015,
SC Sonegaon lodhi,Aug-2015,
SC Sonegaon lodhi,Sep-2015,
SC Sonegaon lodhi,Oct-2015,
SC Sonegaon lodhi,Nov-2015,
SC Sonegaon lodhi,Dec-2015,
SC Sonegaon lodhi,Jan-2016,
SC Sonegaon lodhi,Feb-2016,
SC Sonegaon lodhi,Mar-2016,
SC Sonegaon lodhi,Total,
SC Suradevi,Apr-2015,
SC Suradevi,May-2015,
SC Suradevi,Jun-2015,
SC Suradevi,Jul-2015,
SC Suradevi,Aug-2015,
SC Suradevi,Sep-2015,
SC Suradevi,Oct-2015,
SC Suradevi,Nov-2015,
SC Suradevi,Dec-2015,
SC Suradevi,Jan-2016,
SC Suradevi,Feb-2016,
SC Suradevi,Mar-2016,
SC Suradevi,Total,
SC Susundri,Apr-2015,
SC Susundri,May-2015,
SC Susundri,Jun-2015,
SC Susundri,Jul-2015,
SC Susundri,Aug-2015,
SC Susundri,Sep-2015,
SC Susundri,Oct-2015,
SC Susundri,Nov-2015,
SC Susundri,Dec-2015,
SC Susundri,Jan-2016,
SC Susundri,Feb-2016,
SC Susundri,Mar-2016,
SC Susundri,Total,
SC THADIPAWNI,Apr-2015,
SC THADIPAWNI,May-2015,
SC THADIPAWNI,Jun-2015,
SC THADIPAWNI,Jul-2015,
SC THADIPAWNI,Aug-2015,
SC THADIPAWNI,Sep-2015,
SC THADIPAWNI,Oct-2015,
SC THADIPAWNI,Nov-2015,
SC THADIPAWNI,Dec-2015,
SC THADIPAWNI,Jan-2016,
SC THADIPAWNI,Feb-2016,
SC THADIPAWNI,Mar-2016,
SC THADIPAWNI,Total,
SC Takalgaht,Apr-2015,
SC Takalgaht,May-2015,
SC Takalgaht,Jun-2015,
SC Takalgaht,Jul-2015,
SC Takalgaht,Aug-2015,
SC Takalgaht,Sep-2015,
SC Takalgaht,Oct-2015,
SC Takalgaht,Nov-2015,
SC Takalgaht,Dec-2015,
SC Takalgaht,Jan-2016,
SC Takalgaht,Feb-2016,
SC Takalgaht,Mar-2016,
SC Takalgaht,Total,
SC Tanda,Apr-2015,
SC Tanda,May-2015,
SC Tanda,Jun-2015,
SC Tanda,Jul-2015,
SC Tanda,Aug-2015,
SC Tanda,Sep-2015,
SC Tanda,Oct-2015,
SC Tanda,Nov-2015,
SC Tanda,Dec-2015,
SC Tanda,Jan-2016,
SC Tanda,Feb-2016,
SC Tanda,Mar-2016,
SC Tanda,Total,
SC Tangla,Apr-2015,
SC Tangla,May-2015,
SC Tangla,Jun-2015,
SC Tangla,Jul-2015,
SC Tangla,Aug-2015,
SC Tangla,Sep-2015,
SC Tangla,Oct-2015,
SC Tangla,Nov-2015,
SC Tangla,Dec-2015,
SC Tangla,Jan-2016,
SC Tangla,Feb-2016,
SC Tangla,Mar-2016,
SC Tangla,Total,
SC Tarna,Apr-2015,
SC Tarna,May-2015,
SC Tarna,Jun-2015,
SC Tarna,Jul-2015,
SC Tarna,Aug-2015,
SC Tarna,Sep-2015,
SC Tarna,Oct-2015,
SC Tarna,Nov-2015,
SC Tarna,Dec-2015,
SC Tarna,Jan-2016,
SC Tarna,Feb-2016,
SC Tarna,Mar-2016,
SC Tarna,Total,
SC Tarodi,Apr-2015,
SC Tarodi,May-2015,
SC Tarodi,Jun-2015,
SC Tarodi,Jul-2015,
SC Tarodi,Aug-2015,
SC Tarodi,Sep-2015,
SC Tarodi,Oct-2015,
SC Tarodi,Nov-2015,
SC Tarodi,Dec-2015,
SC Tarodi,Jan-2016,
SC Tarodi,Feb-2016,
SC Tarodi,Mar-2016,
SC Tarodi,Total,
SC Tekadi,Apr-2015,
SC Tekadi,May-2015,
SC Tekadi,Jun-2015,
SC Tekadi,Jul-2015,
SC Tekadi,Aug-2015,
SC Tekadi,Sep-2015,
SC Tekadi,Oct-2015,
SC Tekadi,Nov-2015,
SC Tekadi,Dec-2015,
SC Tekadi,Jan-2016,
SC Tekadi,Feb-2016,
SC Tekadi,Mar-2016,
SC Tekadi,Total,
SC Telgaon,Apr-2015,
SC Telgaon,May-2015,
SC Telgaon,Jun-2015,
SC Telgaon,Jul-2015,
SC Telgaon,Aug-2015,
SC Telgaon,Sep-2015,
SC Telgaon,Oct-2015,
SC Telgaon,Nov-2015,
SC Telgaon,Dec-2015,
SC Telgaon,Jan-2016,
SC Telgaon,Feb-2016,
SC Telgaon,Mar-2016,
SC Telgaon,Total,
SC Telkamtee,Apr-2015,
SC Telkamtee,May-2015,
SC Telkamtee,Jun-2015,
SC Telkamtee,Jul-2015,
SC Telkamtee,Aug-2015,
SC Telkamtee,Sep-2015,
SC Telkamtee,Oct-2015,
SC Telkamtee,Nov-2015,
SC Telkamtee,Dec-2015,
SC Telkamtee,Jan-2016,
SC Telkamtee,Feb-2016,
SC Telkamtee,Mar-2016,
SC Telkamtee,Total,
SC Temasna,Apr-2015,
SC Temasna,May-2015,
SC Temasna,Jun-2015,
SC Temasna,Jul-2015,
SC Temasna,Aug-2015,
SC Temasna,Sep-2015,
SC Temasna,Oct-2015,
SC Temasna,Nov-2015,
SC Temasna,Dec-2015,
SC Temasna,Jan-2016,
SC Temasna,Feb-2016,
SC Temasna,Mar-2016,
SC Temasna,Total,
SC Thugaondev,Apr-2015,
SC Thugaondev,May-2015,
SC Thugaondev,Jun-2015,
SC Thugaondev,Jul-2015,
SC Thugaondev,Aug-2015,
SC Thugaondev,Sep-2015,
SC Thugaondev,Oct-2015,
SC Thugaondev,Nov-2015,
SC Thugaondev,Dec-2015,
SC Thugaondev,Jan-2016,
SC Thugaondev,Feb-2016,
SC Thugaondev,Mar-2016,
SC Thugaondev,Total,
SC Tinkheda,Apr-2015,
SC Tinkheda,May-2015,
SC Tinkheda,Jun-2015,
SC Tinkheda,Jul-2015,
SC Tinkheda,Aug-2015,
SC Tinkheda,Sep-2015,
SC Tinkheda,Oct-2015,
SC Tinkheda,Nov-2015,
SC Tinkheda,Dec-2015,
SC Tinkheda,Jan-2016,
SC Tinkheda,Feb-2016,
SC Tinkheda,Mar-2016,
SC Tinkheda,Total,
SC Titur,Apr-2015,
SC Titur,May-2015,
SC Titur,Jun-2015,
SC Titur,Jul-2015,
SC Titur,Aug-2015,
SC Titur,Sep-2015,
SC Titur,Oct-2015,
SC Titur,Nov-2015,
SC Titur,Dec-2015,
SC Titur,Jan-2016,
SC Titur,Feb-2016,
SC Titur,Mar-2016,
SC Titur,Total,
SC Tuman,Apr-2015,
SC Tuman,May-2015,
SC Tuman,Jun-2015,
SC Tuman,Jul-2015,
SC Tuman,Aug-2015,
SC Tuman,Sep-2015,
SC Tuman,Oct-2015,
SC Tuman,Nov-2015,
SC Tuman,Dec-2015,
SC Tuman,Jan-2016,
SC Tuman,Feb-2016,
SC Tuman,Mar-2016,
SC Tuman,Total,
SC Ubali,Apr-2015,
SC Ubali,May-2015,
SC Ubali,Jun-2015,
SC Ubali,Jul-2015,
SC Ubali,Aug-2015,
SC Ubali,Sep-2015,
SC Ubali,Oct-2015,
SC Ubali,Nov-2015,
SC Ubali,Dec-2015,
SC Ubali,Jan-2016,
SC Ubali,Feb-2016,
SC Ubali,Mar-2016,
SC Ubali,Total,
SC Umari Kelwad,Apr-2015,
SC Umari Kelwad,May-2015,
SC Umari Kelwad,Jun-2015,
SC Umari Kelwad,Jul-2015,
SC Umari Kelwad,Aug-2015,
SC Umari Kelwad,Sep-2015,
SC Umari Kelwad,Oct-2015,
SC Umari Kelwad,Nov-2015,
SC Umari Kelwad,Dec-2015,
SC Umari Kelwad,Jan-2016,
SC Umari Kelwad,Feb-2016,
SC Umari Kelwad,Mar-2016,
SC Umari Kelwad,Total,
SC Umri wagh,Apr-2015,
SC Umri wagh,May-2015,
SC Umri wagh,Jun-2015,
SC Umri wagh,Jul-2015,
SC Umri wagh,Aug-2015,
SC Umri wagh,Sep-2015,
SC Umri wagh,Oct-2015,
SC Umri wagh,Nov-2015,
SC Umri wagh,Dec-2015,
SC Umri wagh,Jan-2016,
SC Umri wagh,Feb-2016,
SC Umri wagh,Mar-2016,
SC Umri wagh,Total,
SC Vadgaon Bela,Apr-2015,
SC Vadgaon Bela,May-2015,
SC Vadgaon Bela,Jun-2015,
SC Vadgaon Bela,Jul-2015,
SC Vadgaon Bela,Aug-2015,
SC Vadgaon Bela,Sep-2015,
SC Vadgaon Bela,Oct-2015,
SC Vadgaon Bela,Nov-2015,
SC Vadgaon Bela,Dec-2015,
SC Vadgaon Bela,Jan-2016,
SC Vadgaon Bela,Feb-2016,
SC Vadgaon Bela,Mar-2016,
SC Vadgaon Bela,Total,
SC Veltur,Apr-2015,
SC Veltur,May-2015,
SC Veltur,Jun-2015,
SC Veltur,Jul-2015,
SC Veltur,Aug-2015,
SC Veltur,Sep-2015,
SC Veltur,Oct-2015,
SC Veltur,Nov-2015,
SC Veltur,Dec-2015,
SC Veltur,Jan-2016,
SC Veltur,Feb-2016,
SC Veltur,Mar-2016,
SC Veltur,Total,
SC Vihirgaon Pachgaon,Apr-2015,
SC Vihirgaon Pachgaon,May-2015,
SC Vihirgaon Pachgaon,Jun-2015,
SC Vihirgaon Pachgaon,Jul-2015,
SC Vihirgaon Pachgaon,Aug-2015,
SC Vihirgaon Pachgaon,Sep-2015,
SC Vihirgaon Pachgaon,Oct-2015,
SC Vihirgaon Pachgaon,Nov-2015,
SC Vihirgaon Pachgaon,Dec-2015,
SC Vihirgaon Pachgaon,Jan-2016,
SC Vihirgaon Pachgaon,Feb-2016,
SC Vihirgaon Pachgaon,Mar-2016,
SC Vihirgaon Pachgaon,Total,
SC Virli,Apr-2015,
SC Virli,May-2015,
SC Virli,Jun-2015,
SC Virli,Jul-2015,
SC Virli,Aug-2015,
SC Virli,Sep-2015,
SC Virli,Oct-2015,
SC Virli,Nov-2015,
SC Virli,Dec-2015,
SC Virli,Jan-2016,
SC Virli,Feb-2016,
SC Virli,Mar-2016,
SC Virli,Total,
SC WADVIHIRA,Apr-2015,
SC WADVIHIRA,May-2015,
SC WADVIHIRA,Jun-2015,
SC WADVIHIRA,Jul-2015,
SC WADVIHIRA,Aug-2015,
SC WADVIHIRA,Sep-2015,
SC WADVIHIRA,Oct-2015,
SC WADVIHIRA,Nov-2015,
SC WADVIHIRA,Dec-2015,
SC WADVIHIRA,Jan-2016,
SC WADVIHIRA,Feb-2016,
SC WADVIHIRA,Mar-2016,
SC WADVIHIRA,Total,
SC WARADA,Apr-2015,
SC WARADA,May-2015,
SC WARADA,Jun-2015,
SC WARADA,Jul-2015,
SC WARADA,Aug-2015,
SC WARADA,Sep-2015,
SC WARADA,Oct-2015,
SC WARADA,Nov-2015,
SC WARADA,Dec-2015,
SC WARADA,Jan-2016,
SC WARADA,Feb-2016,
SC WARADA,Mar-2016,
SC WARADA,Total,
SC Wadamba,Apr-2015,
SC Wadamba,May-2015,
SC Wadamba,Jun-2015,
SC Wadamba,Jul-2015,
SC Wadamba,Aug-2015,
SC Wadamba,Sep-2015,
SC Wadamba,Oct-2015,
SC Wadamba,Nov-2015,
SC Wadamba,Dec-2015,
SC Wadamba,Jan-2016,
SC Wadamba,Feb-2016,
SC Wadamba,Mar-2016,
SC Wadamba,Total,
SC Wadi Vyadad,Apr-2015,
SC Wadi Vyadad,May-2015,
SC Wadi Vyadad,Jun-2015,
SC Wadi Vyadad,Jul-2015,
SC Wadi Vyadad,Aug-2015,
SC Wadi Vyadad,Sep-2015,
SC Wadi Vyadad,Oct-2015,
SC Wadi Vyadad,Nov-2015,
SC Wadi Vyadad,Dec-2015,
SC Wadi Vyadad,Jan-2016,
SC Wadi Vyadad,Feb-2016,
SC Wadi Vyadad,Mar-2016,
SC Wadi Vyadad,Total,
SC Wadoda,Apr-2015,
SC Wadoda,May-2015,
SC Wadoda,Jun-2015,
SC Wadoda,Jul-2015,
SC Wadoda,Aug-2015,
SC Wadoda,Sep-2015,
SC Wadoda,Oct-2015,
SC Wadoda,Nov-2015,
SC Wadoda,Dec-2015,
SC Wadoda,Jan-2016,
SC Wadoda,Feb-2016,
SC Wadoda,Mar-2016,
SC Wadoda,Total,
SC Wag,Apr-2015,
SC Wag,May-2015,
SC Wag,Jun-2015,
SC Wag,Jul-2015,
SC Wag,Aug-2015,
SC Wag,Sep-2015,
SC Wag,Oct-2015,
SC Wag,Nov-2015,
SC Wag,Dec-2015,
SC Wag,Jan-2016,
SC Wag,Feb-2016,
SC Wag,Mar-2016,
SC Wag,Total,
SC Waki Patansawangi,Apr-2015,
SC Waki Patansawangi,May-2015,
SC Waki Patansawangi,Jun-2015,
SC Waki Patansawangi,Jul-2015,
SC Waki Patansawangi,Aug-2015,
SC Waki Patansawangi,Sep-2015,
SC Waki Patansawangi,Oct-2015,
SC Waki Patansawangi,Nov-2015,
SC Waki Patansawangi,Dec-2015,
SC Waki Patansawangi,Jan-2016,
SC Waki Patansawangi,Feb-2016,
SC Waki Patansawangi,Mar-2016,
SC Waki Patansawangi,Total,
SC Wakodi Khapa,Apr-2015,
SC Wakodi Khapa,May-2015,
SC Wakodi Khapa,Jun-2015,
SC Wakodi Khapa,Jul-2015,
SC Wakodi Khapa,Aug-2015,
SC Wakodi Khapa,Sep-2015,
SC Wakodi Khapa,Oct-2015,
SC Wakodi Khapa,Nov-2015,
SC Wakodi Khapa,Dec-2015,
SC Wakodi Khapa,Jan-2016,
SC Wakodi Khapa,Feb-2016,
SC Wakodi Khapa,Mar-2016,
SC Wakodi Khapa,Total,
SC Walani,Apr-2015,
SC Walani,May-2015,
SC Walani,Jun-2015,
SC Walani,Jul-2015,
SC Walani,Aug-2015,
SC Walani,Sep-2015,
SC Walani,Oct-2015,
SC Walani,Nov-2015,
SC Walani,Dec-2015,
SC Walani,Jan-2016,
SC Walani,Feb-2016,
SC Walani,Mar-2016,
SC Walani,Total,
SC Wandli,Apr-2015,
SC Wandli,May-2015,
SC Wandli,Jun-2015,
SC Wandli,Jul-2015,
SC Wandli,Aug-2015,
SC Wandli,Sep-2015,
SC Wandli,Oct-2015,
SC Wandli,Nov-2015,
SC Wandli,Dec-2015,
SC Wandli,Jan-2016,
SC Wandli,Feb-2016,
SC Wandli,Mar-2016,
SC Wandli,Total,
SC Wanjara,Apr-2015,
SC Wanjara,May-2015,
SC Wanjara,Jun-2015,
SC Wanjara,Jul-2015,
SC Wanjara,Aug-2015,
SC Wanjara,Sep-2015,
SC Wanjara,Oct-2015,
SC Wanjara,Nov-2015,
SC Wanjara,Dec-2015,
SC Wanjara,Jan-2016,
SC Wanjara,Feb-2016,
SC Wanjara,Mar-2016,
SC Wanjara,Total,
SC Waroda,Apr-2015,
SC Waroda,May-2015,
SC Waroda,Jun-2015,
SC Waroda,Jul-2015,
SC Waroda,Aug-2015,
SC Waroda,Sep-2015,
SC Waroda,Oct-2015,
SC Waroda,Nov-2015,
SC Waroda,Dec-2015,
SC Waroda,Jan-2016,
SC Waroda,Feb-2016,
SC Waroda,Mar-2016,
SC Waroda,Total,
SC YENIKONI,Apr-2015,
SC YENIKONI,May-2015,
SC YENIKONI,Jun-2015,
SC YENIKONI,Jul-2015,
SC YENIKONI,Aug-2015,
SC YENIKONI,Sep-2015,
SC YENIKONI,Oct-2015,
SC YENIKONI,Nov-2015,
SC YENIKONI,Dec-2015,
SC YENIKONI,Jan-2016,
SC YENIKONI,Feb-2016,
SC YENIKONI,Mar-2016,
SC YENIKONI,Total,
SC Yenwa,Apr-2015,
SC Yenwa,May-2015,
SC Yenwa,Jun-2015,
SC Yenwa,Jul-2015,
SC Yenwa,Aug-2015,
SC Yenwa,Sep-2015,
SC Yenwa,Oct-2015,
SC Yenwa,Nov-2015,
SC Yenwa,Dec-2015,
SC Yenwa,Jan-2016,
SC Yenwa,Feb-2016,
SC Yenwa,Mar-2016,
SC Yenwa,Total,
SC Yerkheda,Apr-2015,
SC Yerkheda,May-2015,
SC Yerkheda,Jun-2015,
SC Yerkheda,Jul-2015,
SC Yerkheda,Aug-2015,
SC Yerkheda,Sep-2015,
SC Yerkheda,Oct-2015,
SC Yerkheda,Nov-2015,
SC Yerkheda,Dec-2015,
SC Yerkheda,Jan-2016,
SC Yerkheda,Feb-2016,
SC Yerkheda,Mar-2016,
SC Yerkheda,Total,
SC Zilpa,Apr-2015,
SC Zilpa,May-2015,
SC Zilpa,Jun-2015,
SC Zilpa,Jul-2015,
SC Zilpa,Aug-2015,
SC Zilpa,Sep-2015,
SC Zilpa,Oct-2015,
SC Zilpa,Nov-2015,
SC Zilpa,Dec-2015,
SC Zilpa,Jan-2016,
SC Zilpa,Feb-2016,
SC Zilpa,Mar-2016,
SC Zilpa,Total,
SC kacharisawanga,Apr-2015,
SC kacharisawanga,May-2015,
SC kacharisawanga,Jun-2015,
SC kacharisawanga,Jul-2015,
SC kacharisawanga,Aug-2015,
SC kacharisawanga,Sep-2015,
SC kacharisawanga,Oct-2015,
SC kacharisawanga,Nov-2015,
SC kacharisawanga,Dec-2015,
SC kacharisawanga,Jan-2016,
SC kacharisawanga,Feb-2016,
SC kacharisawanga,Mar-2016,
SC kacharisawanga,Total,
SC kondhali,Apr-2015,
SC kondhali,May-2015,
SC kondhali,Jun-2015,
SC kondhali,Jul-2015,
SC kondhali,Aug-2015,
SC kondhali,Sep-2015,
SC kondhali,Oct-2015,
SC kondhali,Nov-2015,
SC kondhali,Dec-2015,
SC kondhali,Jan-2016,
SC kondhali,Feb-2016,
SC kondhali,Mar-2016,
SC kondhali,Total,
SC paradsinga,Apr-2015,
SC paradsinga,May-2015,
SC paradsinga,Jun-2015,
SC paradsinga,Jul-2015,
SC paradsinga,Aug-2015,
SC paradsinga,Sep-2015,
SC paradsinga,Oct-2015,
SC paradsinga,Nov-2015,
SC paradsinga,Dec-2015,
SC paradsinga,Jan-2016,
SC paradsinga,Feb-2016,
SC paradsinga,Mar-2016,
SC paradsinga,Total,
SC yerla dhote,Apr-2015,
SC yerla dhote,May-2015,
SC yerla dhote,Jun-2015,
SC yerla dhote,Jul-2015,
SC yerla dhote,Aug-2015,
SC yerla dhote,Sep-2015,
SC yerla dhote,Oct-2015,
SC yerla dhote,Nov-2015,
SC yerla dhote,Dec-2015,
SC yerla dhote,Jan-2016,
SC yerla dhote,Feb-2016,
SC yerla dhote,Mar-2016,
SC yerla dhote,Total,
SINDHI Sawaergaon SC,Apr-2015,
SINDHI Sawaergaon SC,May-2015,
SINDHI Sawaergaon SC,Jun-2015,
SINDHI Sawaergaon SC,Jul-2015,
SINDHI Sawaergaon SC,Aug-2015,
SINDHI Sawaergaon SC,Sep-2015,
SINDHI Sawaergaon SC,Oct-2015,
SINDHI Sawaergaon SC,Nov-2015,
SINDHI Sawaergaon SC,Dec-2015,
SINDHI Sawaergaon SC,Jan-2016,
SINDHI Sawaergaon SC,Feb-2016,
SINDHI Sawaergaon SC,Mar-2016,
SINDHI Sawaergaon SC,Total,
Sawargaon Narkhed SC,Apr-2015,
Sawargaon Narkhed SC,May-2015,
Sawargaon Narkhed SC,Jun-2015,
Sawargaon Narkhed SC,Jul-2015,
Sawargaon Narkhed SC,Aug-2015,
Sawargaon Narkhed SC,Sep-2015,
Sawargaon Narkhed SC,Oct-2015,
Sawargaon Narkhed SC,Nov-2015,
Sawargaon Narkhed SC,Dec-2015,
Sawargaon Narkhed SC,Jan-2016,
Sawargaon Narkhed SC,Feb-2016,
Sawargaon Narkhed SC,Mar-2016,
Sawargaon Narkhed SC,Total,
Shivani Nagardham SC,Apr-2015,
Shivani Nagardham SC,May-2015,
Shivani Nagardham SC,Jun-2015,
Shivani Nagardham SC,Jul-2015,
Shivani Nagardham SC,Aug-2015,
Shivani Nagardham SC,Sep-2015,
Shivani Nagardham SC,Oct-2015,
Shivani Nagardham SC,Nov-2015,
Shivani Nagardham SC,Dec-2015,
Shivani Nagardham SC,Jan-2016,
Shivani Nagardham SC,Feb-2016,
Shivani Nagardham SC,Mar-2016,
Shivani Nagardham SC,Total,
Tamaswadi Dorali SC,Apr-2015,
Tamaswadi Dorali SC,May-2015,
Tamaswadi Dorali SC,Jun-2015,
Tamaswadi Dorali SC,Jul-2015,
Tamaswadi Dorali SC,Aug-2015,
Tamaswadi Dorali SC,Sep-2015,
Tamaswadi Dorali SC,Oct-2015,
Tamaswadi Dorali SC,Nov-2015,
Tamaswadi Dorali SC,Dec-2015,
Tamaswadi Dorali SC,Jan-2016,
Tamaswadi Dorali SC,Feb-2016,
Tamaswadi Dorali SC,Mar-2016,
Tamaswadi Dorali SC,Total,
Thana Mandhal SC,Apr-2015,
Thana Mandhal SC,May-2015,
Thana Mandhal SC,Jun-2015,
Thana Mandhal SC,Jul-2015,
Thana Mandhal SC,Aug-2015,
Thana Mandhal SC,Sep-2015,
Thana Mandhal SC,Oct-2015,
Thana Mandhal SC,Nov-2015,
Thana Mandhal SC,Dec-2015,
Thana Mandhal SC,Jan-2016,
Thana Mandhal SC,Feb-2016,
Thana Mandhal SC,Mar-2016,
Thana Mandhal SC,Total,
Umari Bhandarbodi SC,Apr-2015,
Umari Bhandarbodi SC,May-2015,
Umari Bhandarbodi SC,Jun-2015,
Umari Bhandarbodi SC,Jul-2015,
Umari Bhandarbodi SC,Aug-2015,
Umari Bhandarbodi SC,Sep-2015,
Umari Bhandarbodi SC,Oct-2015,
Umari Bhandarbodi SC,Nov-2015,
Umari Bhandarbodi SC,Dec-2015,
Umari Bhandarbodi SC,Jan-2016,
Umari Bhandarbodi SC,Feb-2016,
Umari Bhandarbodi SC,Mar-2016,
Umari Bhandarbodi SC,Total,
Uparwahi Kalmeshwar SC,Apr-2015,
Uparwahi Kalmeshwar SC,May-2015,
Uparwahi Kalmeshwar SC,Jun-2015,
Uparwahi Kalmeshwar SC,Jul-2015,
Uparwahi Kalmeshwar SC,Aug-2015,
Uparwahi Kalmeshwar SC,Sep-2015,
Uparwahi Kalmeshwar SC,Oct-2015,
Uparwahi Kalmeshwar SC,Nov-2015,
Uparwahi Kalmeshwar SC,Dec-2015,
Uparwahi Kalmeshwar SC,Jan-2016,
